episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
3,87,35.625031,4.615251,-21.7073,0.566477,32,0.992500
3,88,35.284122,4.820605,-21.2451,0.566477,32,0.992500
3,89,35.064720,4.590792,-21.6773,0.566477,32,0.992500
3,90,34.988976,4.789324,-21.2338,0.566477,32,0.992500
4,91,32.560226,4.434964,-21.8526,0.559026,32,0.990625
4,92,493.031555,19.549969,-21.8234,0.559026,32,0.990625
4,93,468.758240,19.160456,-22.3965,0.559026,32,0.990625
4,94,446.264374,18.794106,-22.9409,0.559026,32,0.990625
4,95,424.876740,18.435844,-23.4740,0.559026,32,0.990625
4,96,404.276154,18.080082,-24.0037,0.559026,32,0.990625
4,97,384.373016,17.725584,-24.5327,0.559026,32,0.990625
4,98,365.167480,17.371609,-25.0601,0.559026,32,0.990625
4,99,346.580444,17.017044,-25.5882,0.559026,32,0.990625
4,100,328.638702,16.663115,-26.1163,0.559026,32,0.990625
4,101,311.346130,16.309376,-26.6449,0.559026,32,0.990625
4,102,294.681274,15.955105,-27.1742,0.559026,32,0.990625
4,103,278.610260,15.599519,-27.7054,0.559026,32,0.990625
4,104,263.123718,15.242146,-28.2387,0.559026,32,0.990625
4,105,248.225250,14.883324,-28.7746,0.559026,32,0.990625
4,106,233.921371,14.522698,-29.3130,0.559026,32,0.990625
4,107,220.217941,14.160141,-29.8542,0.559026,32,0.990625
4,108,207.127762,13.795649,-30.3981,0.559026,32,0.990625
4,109,194.657349,13.429406,-30.9449,0.559026,32,0.990625
4,110,182.817657,13.061182,-31.4942,0.559026,32,0.990625
4,111,171.623108,12.691142,-32.0468,0.559026,32,0.990625
4,112,161.082870,12.319158,-32.6018,0.559026,32,0.990625
4,113,151.203156,11.945242,-33.1598,0.559026,32,0.990625
4,114,141.995255,11.569057,-33.7205,0.559026,32,0.990625
4,115,133.474045,11.190861,-34.2837,0.559026,32,0.990625
4,116,125.644539,10.810328,-34.8491,0.559026,32,0.990625
4,117,118.515755,10.427521,-35.4179,0.559026,32,0.990625
4,118,112.097862,10.042197,-35.9892,0.559026,32,0.990625
4,119,106.405396,9.654354,-36.5623,0.559026,32,0.990625
4,120,101.451653,9.264667,-37.1350,0.559026,32,0.990625
5,121,97.582817,8.892560,-37.7471,0.565414,32,0.988750
