Plane 0 | Job 8 | Site 17 | Start 62 | End 70.94064773081425
Plane 7 | Job 8 | Site 7 | Start 68 | End 101.85431292125142
Plane 0 | Job 6 | Site 5 | Start 70 | End 91.46374504447692
Plane 2 | Job 6 | Site 0 | Start 73 | End 110.50799857828324
Plane 5 | Job 8 | Site 13 | Start 73 | End 94.0293863659264
Plane 3 | Job 8 | Site 17 | Start 74 | End 90.70157470552373
Plane 4 | Job 8 | Site 1 | Start 78 | End 82.0
Plane 1 | Job 8 | Site 4 | Start 82 | End 112.24880949681338
Plane 4 | Job 6 | Site 1 | Start 82 | End 97.0
Plane 6 | Job 8 | Site 3 | Start 89 | End 121.00285699709943
Plane 3 | Job 6 | Site 16 | Start 90 | End 107.00997512422418
Plane 0 | Job 7 | Site 2 | Start 91 | End 99.35688603012512
Plane 5 | Job 6 | Site 6 | Start 94 | End 125.9008875506584
Plane 4 | Job 7 | Site 15 | Start 97 | End 110.32166065557523
Plane 0 | Job 1 | Site 5 | Start 99 | End 115.35688603012512
Plane 7 | Job 6 | Site 12 | Start 101 | End 129.0919822792425
Plane 3 | Job 7 | Site 2 | Start 107 | End 119.85587398600407
Plane 2 | Job 7 | Site 1 | Start 110 | End 114.23606797749979
Plane 4 | Job 1 | Site 16 | Start 110 | End 121.72046505340853
Plane 1 | Job 6 | Site 14 | Start 112 | End 130.62491379207836
Plane 2 | Job 1 | Site 1 | Start 114 | End 124.0
Plane 0 | Job 0 | Site 10 | Start 115 | End 149.59044529893674
Plane 3 | Job 1 | Site 5 | Start 119 | End 135.3568860301251
Plane 4 | Job 0 | Site 3 | Start 121 | End 139.73670418407306
Plane 6 | Job 6 | Site 0 | Start 121 | End 142.42572953056694
Plane 2 | Job 0 | Site 8 | Start 124 | End 168.53056616969957
Plane 5 | Job 7 | Site 1 | Start 125 | End 159.04512443414754
Plane 7 | Job 7 | Site 15 | Start 129 | End 148.889941307897
Plane 1 | Job 7 | Site 2 | Start 130 | End 139.8549347546622
Plane 3 | Job 0 | Site 4 | Start 135 | End 147.1189620100417
Plane 1 | Job 1 | Site 5 | Start 139 | End 155.3568860301251
Plane 4 | Job -1 | Site 16 | Start 139 | End 157.73670418407306
Plane 6 | Job 7 | Site 3 | Start 142 | End 150.42572953056694
Plane 3 | Job -1 | Site 12 | Start 147 | End 176.62243613825765
Plane 7 | Job 1 | Site 14 | Start 148 | End 159.64012194668567
Plane 0 | Job -1 | Site 0 | Start 149 | End 192.39176545197932
Plane 6 | Job 1 | Site 10 | Start 150 | End 187.99571395767572
Plane 1 | Job 0 | Site 4 | Start 155 | End 167.1189620100417
Plane 5 | Job 1 | Site 1 | Start 159 | End 169.0
Plane 7 | Job 0 | Site 3 | Start 159 | End 174.70087712549568
Plane 1 | Job -1 | Site 16 | Start 167 | End 183.7623960250787
Plane 2 | Job -1 | Site 2 | Start 168 | End 210.58849490234246
Plane 5 | Job 0 | Site 1 | Start 169 | End 179.0
Plane 7 | Job -1 | Site 3 | Start 174 | End 184.0
Plane 5 | Job -1 | Site 1 | Start 179 | End 189.0
Plane 6 | Job 0 | Site 3 | Start 187 | End 224.99571395767572
Plane 6 | Job -1 | Site 5 | Start 224 | End 238.2059481689626
---- End of episode ----
Plane 0 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 1 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 2 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 3 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 6 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 0 | Job 2 | Site 11 | Start 17 | End 32.338094023943
Plane 6 | Job 2 | Site 7 | Start 22 | End 45.11724276862369
Plane 0 | Job 3 | Site 14 | Start 32 | End 67.47876949428358
Plane 1 | Job 2 | Site 17 | Start 34 | End 40.0
Plane 4 | Job 2 | Site 5 | Start 37 | End 43.0
Plane 1 | Job 3 | Site 12 | Start 40 | End 72.19680202828421
Plane 7 | Job 2 | Site 17 | Start 40 | End 56.55888251663025
Plane 3 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 2 | Job 2 | Site 11 | Start 43 | End 76.86772326545533
Plane 4 | Job 3 | Site 5 | Start 43 | End 58.0
Plane 5 | Job 2 | Site 1 | Start 44 | End 52.236067977499786
Plane 6 | Job 3 | Site 3 | Start 45 | End 89.85431292125142
Plane 3 | Job 3 | Site 8 | Start 47 | End 94.58849490234245
Plane 5 | Job 3 | Site 1 | Start 52 | End 67.0
Plane 7 | Job 3 | Site 2 | Start 56 | End 83.70157470552373
Plane 4 | Job 8 | Site 17 | Start 58 | End 68.46374504447692
Plane 0 | Job 8 | Site 1 | Start 67 | End 80.90201999594022
Plane 5 | Job 8 | Site 7 | Start 67 | End 104.80369802255369
Plane 4 | Job 6 | Site 16 | Start 68 | End 85.00997512422418
Plane 1 | Job 8 | Site 17 | Start 72 | End 93.19680202828421
Plane 2 | Job 3 | Site 0 | Start 76 | End 120.59408724728641
Plane 0 | Job 6 | Site 1 | Start 80 | End 95.0
Plane 7 | Job 8 | Site 2 | Start 83 | End 87.0
Plane 4 | Job 7 | Site 5 | Start 85 | End 91.81040538832228
Plane 7 | Job 6 | Site 16 | Start 87 | End 112.85587398600407
Plane 6 | Job 8 | Site 4 | Start 89 | End 95.0880613017821
Plane 4 | Job 1 | Site 14 | Start 91 | End 102.52643375224737
Plane 1 | Job 6 | Site 12 | Start 93 | End 125.19680202828421
Plane 3 | Job 8 | Site 17 | Start 94 | End 121.05862094748946
Plane 0 | Job 7 | Site 1 | Start 95 | End 97.0
Plane 6 | Job 6 | Site 2 | Start 95 | End 114.23792402008343
Plane 0 | Job 1 | Site 6 | Start 97 | End 139.04512443414754
Plane 4 | Job 0 | Site 1 | Start 102 | End 121.90201999594022
Plane 5 | Job 6 | Site 5 | Start 104 | End 144.98557292037256
Plane 7 | Job 7 | Site 7 | Start 112 | End 137.44802763560295
Plane 6 | Job 7 | Site 15 | Start 114 | End 125.30215028904608
Plane 2 | Job 8 | Site 9 | Start 120 | End 161.13825520941984
Plane 3 | Job 6 | Site 1 | Start 121 | End 150.71665722914005
Plane 4 | Job -1 | Site 0 | Start 121 | End 133.2360679774998
Plane 1 | Job 7 | Site 15 | Start 125 | End 144.889941307897
Plane 6 | Job 1 | Site 3 | Start 125 | End 142.15891053163818
Plane 7 | Job 1 | Site 2 | Start 137 | End 178.81571938523473
Plane 0 | Job 0 | Site 8 | Start 139 | End 154.2773099207835
Plane 6 | Job 0 | Site 10 | Start 142 | End 179.99571395767572
Plane 1 | Job 1 | Site 5 | Start 144 | End 157.1144823004795
Plane 5 | Job 7 | Site 3 | Start 144 | End 150.2059481689626
Plane 3 | Job 7 | Site 1 | Start 150 | End 152.0
Plane 5 | Job 1 | Site 14 | Start 150 | End 165.70087712549568
Plane 3 | Job 1 | Site 3 | Start 152 | End 166.2059481689626
Plane 0 | Job -1 | Site 8 | Start 154 | End 164.0
Plane 1 | Job 0 | Site 1 | Start 157 | End 175.41189633792524
Plane 2 | Job 6 | Site 16 | Start 161 | End 202.1658173959844
Plane 5 | Job 0 | Site 5 | Start 165 | End 176.52643375224739
Plane 3 | Job 0 | Site 3 | Start 166 | End 176.0
Plane 1 | Job -1 | Site 12 | Start 175 | End 209.31892267350673
Plane 3 | Job -1 | Site 0 | Start 176 | End 192.42572953056694
Plane 5 | Job -1 | Site 8 | Start 176 | End 212.9874044694928
Plane 7 | Job 0 | Site 1 | Start 178 | End 190.06155281280883
Plane 6 | Job -1 | Site 3 | Start 179 | End 216.99571395767572
Plane 7 | Job -1 | Site 5 | Start 190 | End 208.41189633792524
Plane 2 | Job 7 | Site 13 | Start 202 | End 221.0390727447241
Plane 2 | Job 1 | Site 1 | Start 221 | End 252.0667985227941
Plane 2 | Job 0 | Site 6 | Start 252 | End 294.04512443414757
Plane 2 | Job -1 | Site 1 | Start 294 | End 336.04512443414757
---- End of episode ----
Plane 0 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 3 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 4 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 5 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 6 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 2 | Job 2 | Site 7 | Start 17 | End 23.0
Plane 7 | Job 2 | Site 15 | Start 22 | End 44.31349134918703
Plane 2 | Job 3 | Site 14 | Start 23 | End 62.80846629681085
Plane 3 | Job 2 | Site 4 | Start 34 | End 48.52349693494401
Plane 0 | Job 2 | Site 7 | Start 37 | End 68.98557292037256
Plane 6 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 1 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 5 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 4 | Job 2 | Site 11 | Start 44 | End 79.59408724728641
Plane 7 | Job 3 | Site 10 | Start 44 | End 82.34801918793113
Plane 6 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 1 | Job 3 | Site 8 | Start 47 | End 94.58849490234245
Plane 3 | Job 3 | Site 5 | Start 48 | End 65.11896201004171
Plane 5 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 6 | Job 8 | Site 17 | Start 61 | End 75.55888251663025
Plane 2 | Job 8 | Site 3 | Start 62 | End 71.7008771254957
Plane 5 | Job 8 | Site 1 | Start 64 | End 68.0
Plane 3 | Job 8 | Site 0 | Start 65 | End 79.62826420446913
Plane 0 | Job 3 | Site 2 | Start 68 | End 114.81571938523471
Plane 5 | Job 6 | Site 4 | Start 68 | End 89.29364759102383
Plane 2 | Job 6 | Site 14 | Start 71 | End 91.7008771254957
Plane 6 | Job 6 | Site 3 | Start 75 | End 100.55888251663025
Plane 3 | Job 6 | Site 1 | Start 79 | End 96.23606797749979
Plane 4 | Job 3 | Site 5 | Start 79 | End 115.242645786248
Plane 7 | Job 8 | Site 9 | Start 82 | End 90.0024992192379
Plane 5 | Job 7 | Site 17 | Start 89 | End 99.523496934944
Plane 7 | Job 6 | Site 4 | Start 90 | End 134.75936827286495
Plane 2 | Job 7 | Site 7 | Start 91 | End 117.80846629681085
Plane 1 | Job 8 | Site 15 | Start 94 | End 123.30019762768663
Plane 3 | Job 7 | Site 13 | Start 96 | End 119.0667985227941
Plane 5 | Job 1 | Site 1 | Start 99 | End 123.71665722914005
Plane 6 | Job 7 | Site 17 | Start 100 | End 112.55888251663025
Plane 6 | Job 1 | Site 16 | Start 112 | End 124.00997512422418
Plane 0 | Job 8 | Site 9 | Start 114 | End 151.39011829868232
Plane 4 | Job 8 | Site 3 | Start 115 | End 123.20594816896262
Plane 2 | Job 1 | Site 2 | Start 117 | End 158.81571938523473
Plane 3 | Job 1 | Site 5 | Start 119 | End 145.05895388871892
Plane 1 | Job 6 | Site 10 | Start 123 | End 161.34801918793113
Plane 4 | Job 6 | Site 1 | Start 123 | End 142.2059481689626
Plane 5 | Job 0 | Site 6 | Start 123 | End 165.04512443414754
Plane 6 | Job 0 | Site 3 | Start 124 | End 142.73670418407306
Plane 7 | Job 7 | Site 4 | Start 134 | End 136.0
Plane 7 | Job 1 | Site 12 | Start 136 | End 165.62243613825765
Plane 4 | Job 7 | Site 17 | Start 142 | End 158.71665722914005
Plane 6 | Job -1 | Site 16 | Start 142 | End 160.73670418407306
Plane 3 | Job 0 | Site 5 | Start 145 | End 155.0
Plane 0 | Job 6 | Site 1 | Start 151 | End 201.28526604689273
Plane 3 | Job -1 | Site 4 | Start 155 | End 167.1189620100417
Plane 2 | Job 0 | Site 3 | Start 158 | End 170.1540659228538
Plane 4 | Job 1 | Site 14 | Start 158 | End 172.94064773081425
Plane 1 | Job 7 | Site 17 | Start 161 | End 184.61133961604418
Plane 5 | Job -1 | Site 12 | Start 165 | End 188.1590273196768
Plane 7 | Job 0 | Site 5 | Start 165 | End 193.30983342360057
Plane 2 | Job -1 | Site 0 | Start 170 | End 186.42572953056694
Plane 4 | Job 0 | Site 16 | Start 172 | End 185.3600595232823
Plane 1 | Job 1 | Site 3 | Start 184 | End 204.55888251663026
Plane 4 | Job -1 | Site 14 | Start 185 | End 198.3600595232823
Plane 7 | Job -1 | Site 0 | Start 193 | End 213.62826420446913
Plane 0 | Job 7 | Site 13 | Start 201 | End 224.0667985227941
Plane 1 | Job 0 | Site 1 | Start 204 | End 218.2059481689626
Plane 1 | Job -1 | Site 12 | Start 218 | End 252.31892267350673
Plane 0 | Job 1 | Site 5 | Start 224 | End 250.05895388871892
Plane 0 | Job 0 | Site 4 | Start 250 | End 262.1189620100417
Plane 0 | Job -1 | Site 6 | Start 262 | End 298.0007692193904
---- End of episode ----
Plane 0 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 1 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 2 | Job 4 | Site 11 | Start 0 | End 16.066271716414413
Plane 3 | Job 4 | Site 4 | Start 0 | End 38.63140728937397
Plane 4 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 5 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 6 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 2 | Job 2 | Site 15 | Start 16 | End 42.33346994489627
Plane 1 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 1 | Job 3 | Site 16 | Start 27 | End 68.1658173959844
Plane 4 | Job 2 | Site 5 | Start 34 | End 46.46374504447692
Plane 3 | Job 2 | Site 9 | Start 38 | End 73.75936827286493
Plane 7 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 6 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 2 | Job 3 | Site 10 | Start 42 | End 80.34801918793113
Plane 5 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 0 | Job 2 | Site 15 | Start 44 | End 63.556548233234004
Plane 4 | Job 3 | Site 3 | Start 46 | End 65.20594816896262
Plane 7 | Job 3 | Site 8 | Start 46 | End 91.70260575260673
Plane 6 | Job 3 | Site 0 | Start 47 | End 66.27200187265876
Plane 5 | Job 3 | Site 4 | Start 49 | End 70.29364759102383
Plane 0 | Job 3 | Site 1 | Start 63 | End 89.32166065557522
Plane 4 | Job 8 | Site 11 | Start 65 | End 93.41802612825205
Plane 6 | Job 8 | Site 17 | Start 66 | End 86.95228598154243
Plane 1 | Job 8 | Site 2 | Start 68 | End 82.85587398600407
Plane 5 | Job 8 | Site 7 | Start 70 | End 101.90340481016608
Plane 3 | Job 3 | Site 16 | Start 73 | End 114.1658173959844
Plane 2 | Job 8 | Site 4 | Start 80 | End 110.24880949681338
Plane 1 | Job 6 | Site 5 | Start 82 | End 103.35688603012512
Plane 6 | Job 6 | Site 14 | Start 86 | End 105.94064773081425
Plane 0 | Job 8 | Site 17 | Start 89 | End 107.71665722914005
Plane 7 | Job 8 | Site 1 | Start 91 | End 129.53056616969957
Plane 4 | Job 6 | Site 10 | Start 93 | End 112.07921561087423
Plane 5 | Job 6 | Site 3 | Start 101 | End 145.85431292125142
Plane 1 | Job 7 | Site 5 | Start 103 | End 105.0
Plane 1 | Job 1 | Site 2 | Start 105 | End 121.35688603012512
Plane 6 | Job 7 | Site 7 | Start 105 | End 131.80846629681085
Plane 0 | Job 6 | Site 5 | Start 107 | End 128.46374504447692
Plane 2 | Job 6 | Site 8 | Start 110 | End 153.81961137836527
Plane 4 | Job 7 | Site 13 | Start 112 | End 126.36931687685298
Plane 3 | Job 8 | Site 11 | Start 114 | End 138.38357181653893
Plane 1 | Job 0 | Site 0 | Start 121 | End 135.27200187265876
Plane 4 | Job 1 | Site 2 | Start 126 | End 155.52331938989883
Plane 0 | Job 7 | Site 17 | Start 128 | End 136.46374504447692
Plane 7 | Job 6 | Site 10 | Start 129 | End 175.5944615399598
Plane 6 | Job 1 | Site 1 | Start 131 | End 174.8036980225537
Plane 1 | Job -1 | Site 0 | Start 135 | End 145.0
Plane 0 | Job 1 | Site 16 | Start 136 | End 148.00997512422418
Plane 3 | Job 6 | Site 14 | Start 138 | End 173.4787694942836
Plane 5 | Job 7 | Site 0 | Start 145 | End 153.42572953056694
Plane 0 | Job 0 | Site 4 | Start 148 | End 164.7623960250787
Plane 2 | Job 7 | Site 17 | Start 153 | End 178.05862094748946
Plane 5 | Job 1 | Site 16 | Start 153 | End 178.07647173578752
Plane 4 | Job 0 | Site 0 | Start 155 | End 169.27200187265876
Plane 0 | Job -1 | Site 5 | Start 164 | End 176.1189620100417
Plane 4 | Job -1 | Site 2 | Start 169 | End 183.27200187265876
Plane 3 | Job 7 | Site 7 | Start 173 | End 199.80846629681085
Plane 6 | Job 0 | Site 1 | Start 174 | End 184.0
Plane 7 | Job 7 | Site 0 | Start 175 | End 210.39176545197932
Plane 2 | Job 1 | Site 4 | Start 178 | End 196.523496934944
Plane 5 | Job 0 | Site 16 | Start 178 | End 188.0
Plane 6 | Job -1 | Site 14 | Start 184 | End 203.90201999594024
Plane 5 | Job -1 | Site 12 | Start 188 | End 216.24527336051725
Plane 2 | Job 0 | Site 2 | Start 196 | End 210.23792402008343
Plane 3 | Job 1 | Site 3 | Start 199 | End 238.85431292125142
Plane 2 | Job -1 | Site 0 | Start 210 | End 224.27200187265876
Plane 7 | Job 1 | Site 2 | Start 210 | End 224.27200187265876
Plane 7 | Job 0 | Site 5 | Start 224 | End 240.3568860301251
Plane 3 | Job 0 | Site 2 | Start 238 | End 250.1540659228538
Plane 7 | Job -1 | Site 0 | Start 240 | End 260.62826420446913
Plane 3 | Job -1 | Site 1 | Start 250 | End 262.0615528128088
---- End of episode ----
Plane 0 | Job 4 | Site 11 | Start 0 | End 16.066271716414413
Plane 1 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 2 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 3 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 4 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 5 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 6 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 0 | Job 2 | Site 17 | Start 16 | End 41.02445794234359
Plane 2 | Job 2 | Site 7 | Start 17 | End 23.0
Plane 2 | Job 3 | Site 14 | Start 23 | End 62.80846629681085
Plane 1 | Job 2 | Site 4 | Start 36 | End 47.131276644267004
Plane 5 | Job 2 | Site 7 | Start 37 | End 68.98557292037256
Plane 7 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 0 | Job 3 | Site 6 | Start 41 | End 75.25746608461247
Plane 3 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 4 | Job 2 | Site 17 | Start 43 | End 63.71665722914005
Plane 6 | Job 2 | Site 11 | Start 44 | End 79.59408724728641
Plane 7 | Job 3 | Site 5 | Start 46 | End 65.20594816896262
Plane 1 | Job 3 | Site 1 | Start 47 | End 68.29364759102383
Plane 3 | Job 3 | Site 10 | Start 47 | End 91.74155342277871
Plane 2 | Job 8 | Site 15 | Start 62 | End 67.64012194668567
Plane 4 | Job 3 | Site 14 | Start 63 | End 82.94064773081425
Plane 7 | Job 8 | Site 3 | Start 65 | End 73.20594816896262
Plane 2 | Job 6 | Site 16 | Start 67 | End 83.72046505340853
Plane 1 | Job 8 | Site 9 | Start 68 | End 107.28526604689272
Plane 5 | Job 3 | Site 1 | Start 68 | End 116.80369802255369
Plane 7 | Job 6 | Site 4 | Start 73 | End 90.08806130178212
Plane 0 | Job 8 | Site 3 | Start 75 | End 107.00285699709943
Plane 6 | Job 3 | Site 6 | Start 79 | End 103.94786409235671
Plane 4 | Job 8 | Site 15 | Start 82 | End 87.64012194668567
Plane 2 | Job 7 | Site 17 | Start 83 | End 87.00997512422418
Plane 2 | Job 1 | Site 16 | Start 87 | End 99.00997512422418
Plane 4 | Job 6 | Site 0 | Start 87 | End 115.556548233234
Plane 7 | Job 7 | Site 17 | Start 90 | End 100.523496934944
Plane 3 | Job 8 | Site 15 | Start 91 | End 118.34801918793113
Plane 2 | Job 0 | Site 8 | Start 99 | End 133.8278069913555
Plane 7 | Job 1 | Site 10 | Start 100 | End 131.61133961604418
Plane 6 | Job 8 | Site 2 | Start 103 | End 137.02399040767233
Plane 0 | Job 6 | Site 16 | Start 107 | End 130.73670418407306
Plane 1 | Job 6 | Site 3 | Start 107 | End 153.5762569029326
Plane 4 | Job 7 | Site 7 | Start 115 | End 152.80349144985723
Plane 5 | Job 8 | Site 4 | Start 116 | End 126.29364759102383
Plane 3 | Job 6 | Site 5 | Start 118 | End 136.1144823004795
Plane 5 | Job 6 | Site 1 | Start 126 | End 147.29364759102384
Plane 0 | Job 7 | Site 17 | Start 130 | End 134.00997512422418
Plane 7 | Job 0 | Site 0 | Start 131 | End 174.39176545197932
Plane 2 | Job -1 | Site 14 | Start 133 | End 168.90308861892728
Plane 0 | Job 1 | Site 16 | Start 134 | End 146.00997512422418
Plane 3 | Job 7 | Site 5 | Start 136 | End 138.0
Plane 6 | Job 6 | Site 10 | Start 137 | End 181.7415534227787
Plane 3 | Job 1 | Site 8 | Start 138 | End 174.9874044694928
Plane 0 | Job 0 | Site 16 | Start 146 | End 156.0
Plane 5 | Job 7 | Site 2 | Start 147 | End 151.06155281280883
Plane 5 | Job 1 | Site 4 | Start 151 | End 165.23792402008343
Plane 4 | Job 1 | Site 12 | Start 152 | End 175.0919822792425
Plane 1 | Job 7 | Site 7 | Start 153 | End 184.85431292125142
Plane 0 | Job -1 | Site 6 | Start 156 | End 187.1624667749296
Plane 5 | Job 0 | Site 1 | Start 165 | End 181.29364759102384
Plane 3 | Job 0 | Site 16 | Start 174 | End 208.8278069913555
Plane 7 | Job -1 | Site 3 | Start 174 | End 190.42572953056694
Plane 4 | Job 0 | Site 0 | Start 175 | End 210.93472575524947
Plane 5 | Job -1 | Site 10 | Start 181 | End 222.5944615399598
Plane 6 | Job 7 | Site 1 | Start 181 | End 214.5944615399598
Plane 1 | Job 1 | Site 14 | Start 184 | End 218.80846629681085
Plane 3 | Job -1 | Site 4 | Start 208 | End 224.7623960250787
Plane 4 | Job -1 | Site 3 | Start 210 | End 226.42572953056694
Plane 6 | Job 1 | Site 1 | Start 214 | End 224.0
Plane 1 | Job 0 | Site 0 | Start 218 | End 240.12641744292188
Plane 6 | Job 0 | Site 16 | Start 224 | End 246.84133949399362
Plane 1 | Job -1 | Site 0 | Start 240 | End 250.0
Plane 6 | Job -1 | Site 10 | Start 246 | End 279.1717500418074
---- End of episode ----
Plane 0 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 1 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 2 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 3 | Job 4 | Site 11 | Start 0 | End 16.066271716414413
Plane 4 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 5 | Job 4 | Site 4 | Start 0 | End 38.63140728937397
Plane 6 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 2 | Site 17 | Start 16 | End 41.02445794234359
Plane 2 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 2 | Job 3 | Site 6 | Start 27 | End 49.48465096046569
Plane 1 | Job 2 | Site 9 | Start 36 | End 68.51735280905694
Plane 5 | Job 2 | Site 5 | Start 38 | End 46.11896201004171
Plane 7 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 3 | Job 3 | Site 12 | Start 41 | End 73.19680202828421
Plane 6 | Job 2 | Site 13 | Start 41 | End 66.52331938989883
Plane 4 | Job 2 | Site 17 | Start 43 | End 63.71665722914005
Plane 0 | Job 2 | Site 1 | Start 44 | End 52.236067977499786
Plane 5 | Job 3 | Site 14 | Start 46 | End 62.52643375224737
Plane 7 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 2 | Job 8 | Site 7 | Start 49 | End 55.84253408071038
Plane 0 | Job 3 | Site 4 | Start 52 | End 73.29364759102383
Plane 2 | Job 6 | Site 8 | Start 55 | End 72.57099202643649
Plane 7 | Job 8 | Site 7 | Start 61 | End 94.85431292125142
Plane 5 | Job 8 | Site 0 | Start 62 | End 78.12641744292188
Plane 4 | Job 3 | Site 1 | Start 63 | End 92.71665722914005
Plane 6 | Job 3 | Site 14 | Start 66 | End 96.82213639177718
Plane 1 | Job 3 | Site 3 | Start 68 | End 114.57625690293261
Plane 2 | Job 7 | Site 17 | Start 72 | End 97.05862094748946
Plane 0 | Job 8 | Site 4 | Start 73 | End 77.0
Plane 3 | Job 8 | Site 15 | Start 73 | End 94.88994130789702
Plane 0 | Job 6 | Site 10 | Start 77 | End 118.24880949681338
Plane 5 | Job 6 | Site 16 | Start 78 | End 108.07647173578752
Plane 4 | Job 8 | Site 1 | Start 92 | End 96.0
Plane 3 | Job 6 | Site 5 | Start 94 | End 112.1144823004795
Plane 7 | Job 6 | Site 8 | Start 94 | End 111.57099202643649
Plane 4 | Job 6 | Site 1 | Start 96 | End 111.0
Plane 6 | Job 8 | Site 7 | Start 96 | End 124.80846629681085
Plane 2 | Job 1 | Site 0 | Start 97 | End 123.95228598154243
Plane 5 | Job 7 | Site 17 | Start 108 | End 112.00997512422418
Plane 4 | Job 7 | Site 2 | Start 111 | End 115.06155281280883
Plane 7 | Job 7 | Site 1 | Start 111 | End 147.53056616969957
Plane 3 | Job 7 | Site 17 | Start 112 | End 120.46374504447692
Plane 5 | Job 1 | Site 16 | Start 112 | End 124.00997512422418
Plane 1 | Job 8 | Site 3 | Start 114 | End 118.0
Plane 4 | Job 1 | Site 6 | Start 115 | End 155.02399040767233
Plane 0 | Job 7 | Site 11 | Start 118 | End 124.07921561087423
Plane 1 | Job 6 | Site 5 | Start 118 | End 137.2059481689626
Plane 3 | Job 1 | Site 2 | Start 120 | End 142.7015747055237
Plane 2 | Job 0 | Site 10 | Start 123 | End 166.39176545197932
Plane 0 | Job 1 | Site 16 | Start 124 | End 154.38357181653893
Plane 5 | Job 0 | Site 0 | Start 124 | End 149.07647173578752
Plane 6 | Job 6 | Site 8 | Start 124 | End 141.5709920264365
Plane 1 | Job 7 | Site 17 | Start 137 | End 145.46374504447692
Plane 6 | Job 7 | Site 5 | Start 141 | End 169.9874044694928
Plane 3 | Job 0 | Site 2 | Start 142 | End 152.0
Plane 1 | Job 1 | Site 12 | Start 145 | End 172.19680202828422
Plane 7 | Job 1 | Site 4 | Start 147 | End 163.29364759102384
Plane 5 | Job -1 | Site 0 | Start 149 | End 159.0
Plane 3 | Job -1 | Site 14 | Start 152 | End 169.8549347546622
Plane 0 | Job 0 | Site 1 | Start 154 | End 176.84133949399362
Plane 4 | Job 0 | Site 16 | Start 155 | End 186.1624667749296
Plane 7 | Job 0 | Site 0 | Start 163 | End 181.50940655980193
Plane 2 | Job -1 | Site 10 | Start 166 | End 176.0
Plane 6 | Job 1 | Site 14 | Start 169 | End 180.52643375224739
Plane 1 | Job 0 | Site 3 | Start 172 | End 203.11018711428204
Plane 0 | Job -1 | Site 2 | Start 176 | End 188.06155281280883
Plane 6 | Job 0 | Site 8 | Start 180 | End 215.90308861892728
Plane 7 | Job -1 | Site 0 | Start 181 | End 191.0
