Plane 2 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 3 | Job 3 | Site 2 | Start 50 | End 69.27200187265876
Plane 6 | Job 8 | Site 17 | Start 55 | End 80.61133961604416
Plane 0 | Job 8 | Site 7 | Start 63 | End 91.80846629681085
Plane 2 | Job 8 | Site 1 | Start 64 | End 68.0
Plane 1 | Job 8 | Site 3 | Start 65 | End 73.20594816896262
Plane 2 | Job 6 | Site 5 | Start 68 | End 91.41189633792524
Plane 3 | Job 8 | Site 4 | Start 69 | End 77.23792402008343
Plane 1 | Job 6 | Site 6 | Start 73 | End 116.00285699709943
Plane 5 | Job 3 | Site 2 | Start 73 | End 121.39011829868232
Plane 7 | Job 3 | Site 3 | Start 73 | End 112.41802612825205
Plane 3 | Job 6 | Site 1 | Start 77 | End 98.29364759102383
Plane 6 | Job 6 | Site 16 | Start 80 | End 97.00997512422418
Plane 4 | Job 8 | Site 13 | Start 87 | End 107.56411784551173
Plane 0 | Job 6 | Site 12 | Start 91 | End 119.09198227924252
Plane 2 | Job 7 | Site 11 | Start 91 | End 114.242645786248
Plane 6 | Job 7 | Site 4 | Start 97 | End 105.76239602507869
Plane 3 | Job 7 | Site 17 | Start 98 | End 114.71665722914005
Plane 6 | Job 1 | Site 0 | Start 105 | End 123.50940655980193
Plane 4 | Job 6 | Site 1 | Start 107 | End 143.0667985227941
Plane 7 | Job 8 | Site 3 | Start 112 | End 116.0
Plane 2 | Job 1 | Site 10 | Start 114 | End 128.07921561087423
Plane 3 | Job 1 | Site 8 | Start 114 | End 147.05862094748946
Plane 1 | Job 7 | Site 17 | Start 116 | End 137.25746608461247
Plane 7 | Job 6 | Site 5 | Start 116 | End 135.2059481689626
Plane 0 | Job 7 | Site 9 | Start 119 | End 133.2024587686253
Plane 5 | Job 8 | Site 3 | Start 121 | End 127.1540659228538
Plane 6 | Job 0 | Site 2 | Start 123 | End 137.27200187265876
Plane 5 | Job 6 | Site 16 | Start 127 | End 150.73670418407306
Plane 2 | Job 0 | Site 12 | Start 128 | End 146.2
Plane 0 | Job 1 | Site 0 | Start 133 | End 180.13825520941984
Plane 7 | Job 7 | Site 11 | Start 135 | End 158.242645786248
Plane 1 | Job 1 | Site 4 | Start 137 | End 155.523496934944
Plane 6 | Job -1 | Site 10 | Start 137 | End 176.7415534227787
Plane 4 | Job 7 | Site 9 | Start 143 | End 180.28526604689273
Plane 2 | Job -1 | Site 3 | Start 146 | End 177.11018711428204
