episode,epoch,episode_reward,episode_duration,wait_time,epsilon,original_episode
128,32,24.8481,50.0,12.5933,0.758238,208
129,32,28.3912,50.0,8.7971,0.756363,209
130,32,16.0524,50.0,14.8519,0.754487,210
131,32,24.7749,50.0,11.2646,0.752613,211
132,33,33.8467,50.0,5.4328,0.750738,212
133,33,30.4476,50.0,10.4734,0.748862,213
134,33,31.2224,50.0,6.1729,0.746987,214
135,33,32.7934,50.0,7.6565,0.74515,215
136,34,28.4027,50.0,7.9883,0.743275,221
137,34,23.6678,50.0,12.5977,0.7414,222
138,34,25.9699,50.0,10.4791,0.739525,223
139,34,27.1497,50.0,8.5648,0.737688,224
140,35,30.0328,50.0,9.6896,0.735812,225
141,35,26.7534,50.0,8.4673,0.733937,226
142,35,24.2993,50.0,10.5427,0.732062,227
143,35,29.5643,50.0,7.9267,0.730187,228
144,36,30.1464,50.0,7.9498,0.728312,234
145,36,30.7071,50.0,9.8267,0.726438,235
146,36,31.5821,50.0,9.7948,0.724562,236
147,36,32.936,50.0,10.5102,0.722687,237
148,37,31.1422,50.0,8.203,0.720813,238
149,37,26.566,50.0,12.5151,0.718938,239
150,37,31.3034,50.0,7.1738,0.717062,240
151,37,34.7878,50.0,5.4477,0.715187,241
152,38,18.2308,50.0,13.3023,0.713313,247
153,38,30.6472,50.0,6.7294,0.711437,248
154,38,36.9921,50.0,4.9182,0.709562,249
155,38,30.2649,50.0,8.8154,0.707688,250
156,39,31.577,50.0,7.5934,0.705812,251
157,39,29.3177,50.0,9.8504,0.703937,252
158,39,32.8834,50.0,7.2426,0.702063,253
159,39,31.6555,50.0,8.6833,0.700187,254
160,40,22.293,50.0,12.735,0.698313,260
161,40,24.3013,50.0,11.0937,0.696438,261
162,40,24.9491,50.0,14.4645,0.694562,262
163,40,33.226,50.0,5.2363,0.692688,263
164,41,27.8757,50.0,6.7307,0.690813,264
165,41,29.0388,50.0,9.0517,0.688937,265
166,41,23.2783,50.0,10.4144,0.687062,266
167,41,31.4947,50.0,7.5397,0.685225,267
168,42,31.7704,50.0,7.2257,0.68335,273
169,42,30.8467,50.0,9.6234,0.681475,274
170,42,31.0144,50.0,8.2884,0.6796,275
171,42,25.5822,50.0,10.7306,0.677725,276
172,43,23.0597,50.0,12.9746,0.67585,277
173,43,34.9036,50.0,6.5313,0.673975,278
174,43,31.0277,50.0,7.4661,0.6721,279
175,43,31.9036,50.0,9.3104,0.670225,280
176,44,32.032,50.0,6.6773,0.66835,286
177,44,29.7597,50.0,7.1766,0.666475,287
178,44,30.2673,50.0,6.4952,0.6646,288
179,44,34.9689,50.0,4.2859,0.662725,289
180,45,23.8467,50.0,12.106,0.66085,290
181,45,27.0813,50.0,9.0648,0.658975,291
182,45,28.7151,50.0,6.9896,0.6571,292
183,45,36.2797,50.0,5.924,0.655225,293
184,46,27.1346,50.0,8.2673,0.65335,299
185,46,32.7104,50.0,7.6571,0.651475,300
186,46,31.2407,50.0,7.2412,0.6496,301
187,46,17.6554,50.0,14.1086,0.647725,302
188,47,28.5115,50.0,8.7373,0.64585,303
189,47,27.7934,50.0,8.654,0.643975,304
190,47,27.2284,50.0,10.5057,0.6421,305
191,47,24.0761,50.0,10.7463,0.640225,306
192,48,32.72,50.0,6.1679,0.63835,312
193,48,27.6036,50.0,10.6534,0.636475,313
194,48,27.7258,50.0,8.3344,0.6346,314
195,48,29.7735,50.0,7.4578,0.632725,315
196,49,29.7182,50.0,7.7219,0.63085,316
197,49,18.1801,50.0,13.6175,0.628975,317
198,49,29.6505,50.0,7.6154,0.6271,318
199,49,25.6187,50.0,10.409,0.625225,319
200,50,30.3354,50.0,7.66,0.62335,325
201,50,31.6988,50.0,9.3229,0.621475,326
202,50,30.7172,50.0,6.4368,0.6196,327
203,50,29.3364,50.0,8.8159,0.617725,328
204,51,34.0622,50.0,6.5661,0.61585,329
205,51,31.9723,50.0,7.2047,0.613975,330
206,51,31.8754,50.0,6.5192,0.6121,331
207,51,33.7079,50.0,8.134,0.610262,332
208,52,24.5937,50.0,11.0688,0.608388,338
209,52,17.6697,50.0,11.8715,0.606513,339
210,52,33.4467,50.0,6.0985,0.604637,340
211,52,19.5858,50.0,12.3262,0.602762,341
212,53,28.4113,50.0,9.015,0.600888,342
213,53,33.3842,50.0,5.5944,0.599012,343
214,53,32.352,50.0,6.58,0.597137,344
215,53,38.4395,50.0,6.3263,0.595263,345
216,54,24.2415,50.0,9.3419,0.593387,351
217,54,28.9966,50.0,8.3261,0.591512,352
218,54,29.3084,50.0,8.7738,0.589638,353
219,54,27.388,50.0,9.8511,0.587762,354
220,55,29.4694,50.0,7.949,0.585888,355
221,55,31.8992,50.0,8.8519,0.584013,356
222,55,29.1016,50.0,7.935,0.582137,357
223,55,30.6215,50.0,10.8396,0.580263,358
224,56,25.5528,50.0,8.9183,0.578388,364
225,56,34.0679,50.0,4.344,0.576512,365
226,56,28.0348,50.0,6.8731,0.574637,366
227,56,31.3256,50.0,7.6711,0.572763,367
228,57,18.2376,50.0,12.7158,0.570887,368
229,57,26.8204,50.0,9.6342,0.569012,369
230,57,32.952,50.0,6.0106,0.567138,370
231,57,28.7621,50.0,7.6757,0.565263,371
232,58,26.6179,50.0,9.8938,0.563388,377
233,58,32.3789,50.0,5.9159,0.561512,378
234,58,16.7929,50.0,14.3471,0.559638,379
235,58,34.9005,50.0,9.6317,0.557762,380
236,59,28.6792,50.0,10.5448,0.555887,381
237,59,28.5595,50.0,9.3831,0.554013,382
238,59,29.6907,50.0,8.5199,0.552137,383
239,59,36.4503,50.0,3.9359,0.550262,384
240,60,24.2801,50.0,10.7086,0.548388,390
241,60,20.517,50.0,12.5948,0.546512,391
242,60,23.8652,50.0,11.3197,0.544638,392
243,60,23.7415,50.0,10.8932,0.542763,393
244,61,32.1639,50.0,5.309,0.540887,394
245,61,27.6219,50.0,10.4479,0.539012,395
246,61,30.396,50.0,10.3739,0.537137,396
247,61,26.1589,50.0,10.2324,0.535262,397
248,62,35.9978,50.0,5.395,0.533387,403
249,62,26.341,50.0,11.3859,0.531513,404
250,62,33.431,50.0,8.1109,0.529637,405
251,62,33.7365,50.0,6.0363,0.527762,406
252,63,10.0587,50.0,15.8497,0.525888,407
253,63,29.8137,50.0,6.0713,0.52405,408
254,63,24.631,50.0,8.6401,0.522175,409
255,63,19.9364,50.0,11.7499,0.5203,410
256,64,30.5519,50.0,8.3914,0.518425,416
257,64,32.056,50.0,8.675,0.51655,417
258,64,29.6741,50.0,6.6817,0.514675,418
259,64,23.6563,50.0,11.3184,0.5128,419
260,65,28.2601,50.0,10.477,0.510925,420
261,65,32.6405,50.0,5.1105,0.50905,421
262,65,30.498,50.0,7.4779,0.507175,422
263,65,26.7245,50.0,9.3255,0.5053,423
264,66,31.9064,50.0,9.0007,0.503425,429
265,66,32.9744,50.0,7.809,0.50155,430
266,66,30.2431,50.0,8.4063,0.499675,431
267,66,24.4571,50.0,10.1928,0.4978,432
268,67,28.5703,50.0,7.5858,0.495925,433
269,67,32.2345,50.0,8.204,0.49405,434
270,67,22.6436,50.0,12.3109,0.492175,435
271,67,30.887,50.0,10.6382,0.4903,436
272,68,29.3917,50.0,7.0144,0.488425,442
273,68,22.5019,50.0,9.9811,0.48655,443
274,68,31.0412,50.0,7.6104,0.484675,444
275,68,28.0086,50.0,8.7203,0.4828,445
276,69,28.525,50.0,8.449,0.480925,446
277,69,23.391,50.0,10.7738,0.47905,447
278,69,29.6869,50.0,7.3904,0.477175,448
279,69,32.7617,50.0,7.7486,0.4753,449
280,70,23.3195,50.0,12.7469,0.473425,455
