episode,epoch,episode_reward,episode_duration,wait_time,epsilon
223,34,2.9966,50.00,8.2343,0.793820
224,34,3.2770,50.00,8.3761,0.792336
225,35,4.0083,50.00,7.9806,0.790852
226,35,3.4216,50.00,9.3496,0.789367
227,35,2.9460,50.00,13.5340,0.787883
228,35,3.6920,50.00,5.2028,0.786428
234,36,3.5776,50.00,9.0661,0.784944
235,36,2.7107,50.00,10.3150,0.783459
236,36,1.5893,50.00,10.9828,0.781975
237,36,4.9411,50.00,9.0448,0.780491
238,37,3.0983,50.00,9.4270,0.779006
239,37,1.4996,50.00,11.8916,0.777522
240,37,3.0045,50.00,6.3849,0.776038
241,37,5.0710,50.00,7.2030,0.774553
247,38,3.6309,50.00,8.7536,0.773069
248,38,3.1131,50.00,6.7129,0.771584
249,38,3.4763,50.00,7.2652,0.770100
250,38,3.6325,50.00,8.2442,0.768616
251,39,5.6132,50.00,8.8366,0.767131
252,39,4.3052,50.00,7.1956,0.765647
253,39,2.5773,50.00,8.7638,0.764163
254,39,6.0881,50.00,5.9733,0.762708
260,40,5.6704,50.00,10.1088,0.761223
261,40,3.6226,50.00,9.5216,0.759739
262,40,2.4462,50.00,8.1335,0.758255
263,40,1.2797,50.00,11.0194,0.756770
264,41,3.9187,50.00,6.0998,0.755286
265,41,3.9352,50.00,6.1284,0.753802
266,41,1.7084,50.00,10.0346,0.752317
267,41,4.1152,50.00,8.2055,0.750833
273,42,2.4810,50.00,10.7746,0.749348
274,42,5.2401,50.00,8.3621,0.747864
275,42,4.7571,50.00,8.5729,0.746380
276,42,3.8982,50.00,6.1117,0.744895
277,43,3.8544,50.00,9.9273,0.743411
278,43,4.6068,50.00,9.5654,0.741927
279,43,2.9642,50.00,11.0006,0.740442
280,43,4.3453,50.00,7.8677,0.738958
286,44,4.7621,50.00,4.4288,0.737473
287,44,4.7246,50.00,7.6032,0.735989
288,44,2.4547,50.00,11.3652,0.734505
289,44,2.6706,50.00,8.9665,0.733020
290,45,3.7631,50.00,13.2332,0.731536
291,45,3.3890,50.00,9.6815,0.730052
292,45,2.6237,50.00,9.2912,0.728567
293,45,4.9838,50.00,6.2963,0.727083
299,46,2.6192,50.00,10.8633,0.725598
300,46,3.5655,50.00,9.8874,0.724114
301,46,2.4798,50.00,9.8278,0.722630
302,46,5.1425,50.00,10.5107,0.721145
303,47,2.9679,50.00,7.9915,0.719661
304,47,3.6154,50.00,8.8409,0.718177
305,47,3.8280,50.00,10.9843,0.716692
306,47,5.5402,50.00,7.7914,0.715208
312,48,5.4310,50.00,5.4688,0.713723
313,48,5.1067,50.00,8.8165,0.712239
314,48,2.6762,50.00,9.7843,0.710755
315,48,4.5800,50.00,6.0906,0.709270
316,49,3.5008,50.00,9.5681,0.707786
317,49,2.9403,50.00,10.7532,0.706302
318,49,3.6765,50.00,10.9809,0.704817
319,49,3.6253,50.00,7.8390,0.703363
325,50,4.1042,50.00,5.6013,0.701878
326,50,6.3941,50.00,4.0311,0.700394
327,50,2.1889,50.00,9.9644,0.698909
