episode,reward,time
0,65.34540229885057,232
1,66.5,240
2,60.91747572815534,309
3,62.21060606060606,264
4,67.27672176308539,242
0,64.5,250
1,65.98979591836734,245
2,71.67272727272729,220
3,62.971910112359545,267
4,64.0563909774436,266
0,56.88127853881278,292
1,62.47802197802198,273
2,62.5602564102564,260
3,56.290221402214016,271
4,60.56602316602317,259
0,65.01524822695035,235
1,58.150763358778626,262
2,61.889795918367355,245
3,64.57692307692308,260
4,63.67688172043011,248
0,66.87191011235956,267
1,67.47402597402596,231
2,64.98979591836735,245
3,65.71008403361344,238
4,61.955243445692886,267
0,69.429718875502,249
1,62.03972431077693,266
2,56.91064981949458,277
3,62.77659574468085,282
4,57.1478102189781,274
0,62.84024390243902,246
1,62.3978102189781,274
2,61.43850574712643,261
3,71.30582959641256,223
4,60.031278538812785,292
0,62.09135802469136,243
1,59.54022140221403,271
2,65.19135802469135,243
3,59.4993564993565,259
4,61.87139303482587,268
0,65.91505139500734,227
1,64.48850574712644,261
2,63.45,240
3,60.23771580345286,251
4,64.02941176470588,255
0,58.98273381294965,278
1,71.42702702702702,222
2,59.378021978021984,273
3,57.86541501976285,253
4,61.11541501976285,253
0,59.32183908045977,261
1,62.739147286821705,258
2,62.2391304347826,276
3,64.12204724409449,254
4,60.30076335877863,262
0,64.30582959641256,223
1,62.193388429752076,242
2,59.05952380952381,252
3,63.87357723577236,246
4,60.388505747126445,261
0,61.26368821292776,263
1,59.29781021897811,274
2,63.48850574712644,261
3,57.460093896713616,284
4,58.63816604708798,269
0,61.209523809523816,252
1,62.25952380952381,252
2,57.460093896713616,284
3,69.19338842975208,242
4,63.19874835309618,253
0,67.44999999999999,250
1,58.38355481727575,301
2,60.65581395348838,258
3,63.774831309041836,247
4,62.31818181818181,275
0,63.488505747126425,261
1,65.60460251046025,239
2,63.755813953488364,258
3,58.161245674740485,289
4,62.25952380952381,252
0,64.79978902953587,237
1,62.64354838709677,248
2,64.0563909774436,266
3,65.09016393442623,244
4,59.78805970149254,268
0,62.29702154626109,263
1,59.21818181818182,275
2,60.032733812949644,278
3,65.03972431077695,266
4,61.85231316725979,281
0,62.47183908045977,261
1,55.20415430267062,337
2,65.69354838709677,248
3,68.32183908045977,261
4,56.95189003436427,291
0,61.35076335877863,262
1,63.10538057742782,254
2,60.835646500593114,281
3,66.09016393442623,244
4,58.72139303482587,268
0,62.97191011235955,267
1,64.35592334494774,287
2,62.00537634408602,279
3,60.92941176470589,255
4,61.990163934426235,244
0,61.59354838709678,248
1,69.66901408450704,213
2,62.160649819494594,277
3,63.68420669577875,229
4,61.62355473554736,271
0,65.92372881355932,236
1,65.92372881355932,236
2,62.38409669211196,262
3,64.40438247011951,251
4,62.70141342756184,283
0,55.520270270270274,296
1,57.06818181818181,275
2,64.62355473554736,271
3,65.57971887550201,249
4,62.93979591836734,245
0,58.379020979020986,286
1,63.24338842975206,242
2,67.17469135802469,243
3,63.24457900807381,289
4,64.98979591836735,245
0,57.947945205479456,292
1,68.04016393442623,244
2,64.59638554216866,249
3,65.38409669211197,262
4,61.5,300
0,63.75581395348837,258
1,69.53695652173913,230
2,66.87357723577236,246
3,60.268181818181816,275
4,67.7008733624454,229
0,58.98273381294965,278
1,60.222463768115944,276
2,71.56645569620254,237
3,58.311355311355314,273
4,66.36206896551724,232
0,59.06855670103093,291
1,62.71645569620254,237
2,62.76505139500735,227
3,63.666023166023166,259
4,65.64935649935649,259
0,55.68817204301075,310
1,61.977815699658706,293
2,62.55882352941177,272
3,64.3095238095238,252
4,65.21541501976284,253
0,64.12204724409449,254
1,54.23474676089517,283
2,57.385964912280706,285
3,61.52692307692308,260
4,63.558823529411754,272
0,60.921910112359555,267
1,59.45882352941176,272
2,61.0063909774436,266
3,61.354382470119525,251
4,59.443548387096776,248
0,58.32692307692308,260
1,58.858163265306125,294
2,59.95537634408602,279
3,62.47183908045977,261
4,60.04150943396227,265
0,61.705813953488374,258
1,61.022047244094495,254
2,65.19135802469135,243
3,60.83564650059312,281
4,70.13310291858677,217
0,63.80483271375465,269
1,61.62355473554736,271
2,63.14135802469136,243
3,67.58793584379357,239
4,59.50263157894737,285
0,63.1510729613734,233
1,53.69397394136808,307
2,63.31368821292776,263
3,63.774831309041836,247
4,68.16666666666667,225
0,64.28333333333333,288
1,59.499356499356495,259
2,67.56602316602317,259
3,57.390221402214024,271
4,64.17469135802469,243
0,58.238505747126425,261
1,59.679636835278856,257
2,68.42659574468084,282
3,62.4,240
4,64.30151515151515,275
0,60.367549668874176,302
1,61.62676056338028,284
2,71.56645569620252,237
3,54.137487636003954,337
4,65.29338842975207,242
0,69.29626556016598,241
1,64.75581395348837,258
2,62.07204724409449,254
3,57.86541501976285,253
4,58.01855670103093,291
0,63.1510729613734,233
1,64.40438247011951,251
2,57.97727272727273,264
3,60.032733812949644,278
4,57.99398315282792,277
0,56.63076923076923,312
1,65.92083333333333,256
2,63.24338842975206,242
3,58.47355473554735,271
4,61.788166047087984,269
0,62.297021546261085,263
1,64.9375,256
2,61.35076335877863,262
3,63.400763358778626,262
4,58.9748427672956,265
0,61.26368821292776,263
1,63.97312925170068,245
2,61.496385542168674,249
3,61.118556701030926,291
4,62.971910112359545,267
0,62.193388429752076,242
1,66.48333333333335,250
2,70.59932126696833,221
3,64.99867256637168,226
4,62.354382470119525,251
0,62.47183908045977,261
1,62.397810218978094,274
2,54.983333333333334,288
3,64.3795988934993,241
4,61.17727272727273,264
0,68.33333333333334,250
1,60.74630350194553,257
2,62.640221402214024,271
3,64.31206896551724,232
4,58.92781569965871,293
0,63.073497267759564,244
1,68.55460251046026,239
2,59.139130434782615,276
3,62.16541501976285,253
4,63.488505747126425,261
0,64.75581395348837,258
1,64.06606714628298,278
2,65.5,250
3,57.40581395348837,258
4,55.18355481727575,301
0,54.730519480519476,308
1,60.42971887550201,249
2,66.38916292974588,223
3,63.554602510460256,239
4,60.032733812949644,278
0,63.67688172043011,248
1,63.67688172043011,248
2,63.67688172043011,248
3,63.67688172043011,248
4,63.67688172043011,248
5,63.67688172043011,248
6,63.67688172043011,248
7,63.67688172043011,248
8,63.67688172043011,248
9,63.67688172043011,248
10,63.67688172043011,248
11,63.67688172043011,248
12,63.67688172043011,248
13,63.67688172043011,248
14,63.67688172043011,248
15,63.67688172043011,248
16,63.67688172043011,248
17,63.67688172043011,248
18,63.67688172043011,248
19,63.67688172043011,248
0,59.32183908045977,261
