tensor(1.8120, grad_fn=<DivBackward0>)
tensor(7.4397, grad_fn=<DivBackward0>)
tensor(1.6401, grad_fn=<DivBackward0>)
tensor(6.3908, grad_fn=<DivBackward0>)
tensor(1.3343, grad_fn=<DivBackward0>)
tensor(4.3618, grad_fn=<DivBackward0>)
tensor(1.6048, grad_fn=<DivBackward0>)
tensor(3.5416, grad_fn=<DivBackward0>)
tensor(1.3678, grad_fn=<DivBackward0>)
tensor(3.3773, grad_fn=<DivBackward0>)
tensor(1.4716, grad_fn=<DivBackward0>)
tensor(2.5204, grad_fn=<DivBackward0>)
tensor(1.6485, grad_fn=<DivBackward0>)
tensor(2.4383, grad_fn=<DivBackward0>)
tensor(1.3205, grad_fn=<DivBackward0>)
tensor(2.9423, grad_fn=<DivBackward0>)
tensor(1.3597, grad_fn=<DivBackward0>)
tensor(2.5398, grad_fn=<DivBackward0>)
tensor(1.6081, grad_fn=<DivBackward0>)
tensor(3.0144, grad_fn=<DivBackward0>)
tensor(1.8530, grad_fn=<DivBackward0>)
tensor(3.3311, grad_fn=<DivBackward0>)
tensor(1.6140, grad_fn=<DivBackward0>)
tensor(3.6640, grad_fn=<DivBackward0>)
tensor(1.2966, grad_fn=<DivBackward0>)
tensor(2.7642, grad_fn=<DivBackward0>)
tensor(1.4004, grad_fn=<DivBackward0>)
tensor(2.6295, grad_fn=<DivBackward0>)
tensor(1.2959, grad_fn=<DivBackward0>)
tensor(2.8255, grad_fn=<DivBackward0>)
tensor(1.2348, grad_fn=<DivBackward0>)
tensor(2.4049, grad_fn=<DivBackward0>)
tensor(1.2783, grad_fn=<DivBackward0>)
tensor(1.9658, grad_fn=<DivBackward0>)
tensor(1.1235, grad_fn=<DivBackward0>)
tensor(2.0339, grad_fn=<DivBackward0>)
tensor(1.2697, grad_fn=<DivBackward0>)
tensor(2.2924, grad_fn=<DivBackward0>)
tensor(1.4366, grad_fn=<DivBackward0>)
tensor(2.3893, grad_fn=<DivBackward0>)
tensor(1.4402, grad_fn=<DivBackward0>)
tensor(2.3688, grad_fn=<DivBackward0>)
tensor(1.3638, grad_fn=<DivBackward0>)
tensor(2.8993, grad_fn=<DivBackward0>)
tensor(1.2976, grad_fn=<DivBackward0>)
tensor(3.0080, grad_fn=<DivBackward0>)
tensor(1.3455, grad_fn=<DivBackward0>)
tensor(2.8464, grad_fn=<DivBackward0>)
tensor(0.9895, grad_fn=<DivBackward0>)
tensor(2.6934, grad_fn=<DivBackward0>)
tensor(0.9515, grad_fn=<DivBackward0>)
tensor(2.3507, grad_fn=<DivBackward0>)
tensor(1.0904, grad_fn=<DivBackward0>)
tensor(1.9403, grad_fn=<DivBackward0>)
tensor(1.0897, grad_fn=<DivBackward0>)
tensor(2.0003, grad_fn=<DivBackward0>)
tensor(1.3505, grad_fn=<DivBackward0>)
tensor(3.0314, grad_fn=<DivBackward0>)
tensor(1.4094, grad_fn=<DivBackward0>)
tensor(3.2060, grad_fn=<DivBackward0>)
tensor(1.1435, grad_fn=<DivBackward0>)
tensor(4.0632, grad_fn=<DivBackward0>)
tensor(1.3077, grad_fn=<DivBackward0>)
tensor(4.7659, grad_fn=<DivBackward0>)
tensor(1.5600, grad_fn=<DivBackward0>)
tensor(4.8727, grad_fn=<DivBackward0>)
tensor(1.2692, grad_fn=<DivBackward0>)
tensor(3.8549, grad_fn=<DivBackward0>)
tensor(0.8413, grad_fn=<DivBackward0>)
tensor(2.9168, grad_fn=<DivBackward0>)
tensor(1.0688, grad_fn=<DivBackward0>)
tensor(2.3097, grad_fn=<DivBackward0>)
tensor(1.1562, grad_fn=<DivBackward0>)
tensor(1.9372, grad_fn=<DivBackward0>)
tensor(1.0446, grad_fn=<DivBackward0>)
tensor(2.6012, grad_fn=<DivBackward0>)
tensor(1.4574, grad_fn=<DivBackward0>)
tensor(3.0918, grad_fn=<DivBackward0>)
tensor(1.0908, grad_fn=<DivBackward0>)
tensor(3.1540, grad_fn=<DivBackward0>)
tensor(1.0700, grad_fn=<DivBackward0>)
tensor(2.4859, grad_fn=<DivBackward0>)
tensor(0.9486, grad_fn=<DivBackward0>)
tensor(2.3561, grad_fn=<DivBackward0>)
tensor(0.8832, grad_fn=<DivBackward0>)
tensor(1.8900, grad_fn=<DivBackward0>)
tensor(0.8489, grad_fn=<DivBackward0>)
tensor(1.5622, grad_fn=<DivBackward0>)
tensor(0.7065, grad_fn=<DivBackward0>)
tensor(1.6395, grad_fn=<DivBackward0>)
tensor(0.8405, grad_fn=<DivBackward0>)
tensor(1.6356, grad_fn=<DivBackward0>)
tensor(0.7748, grad_fn=<DivBackward0>)
tensor(1.7386, grad_fn=<DivBackward0>)
tensor(0.7324, grad_fn=<DivBackward0>)
tensor(1.4963, grad_fn=<DivBackward0>)
tensor(0.9177, grad_fn=<DivBackward0>)
tensor(2.0945, grad_fn=<DivBackward0>)
tensor(1.0309, grad_fn=<DivBackward0>)
tensor(1.9863, grad_fn=<DivBackward0>)
tensor(1.0014, grad_fn=<DivBackward0>)
tensor(2.3800, grad_fn=<DivBackward0>)
tensor(1.0814, grad_fn=<DivBackward0>)
tensor(2.7251, grad_fn=<DivBackward0>)
tensor(1.2796, grad_fn=<DivBackward0>)
tensor(3.2064, grad_fn=<DivBackward0>)
tensor(1.1680, grad_fn=<DivBackward0>)
tensor(3.5470, grad_fn=<DivBackward0>)
tensor(1.2570, grad_fn=<DivBackward0>)
tensor(3.2580, grad_fn=<DivBackward0>)
tensor(1.2372, grad_fn=<DivBackward0>)
tensor(2.7671, grad_fn=<DivBackward0>)
tensor(0.9405, grad_fn=<DivBackward0>)
tensor(2.3636, grad_fn=<DivBackward0>)
tensor(0.9118, grad_fn=<DivBackward0>)
tensor(2.0595, grad_fn=<DivBackward0>)
tensor(0.9390, grad_fn=<DivBackward0>)
tensor(1.9927, grad_fn=<DivBackward0>)
tensor(0.8349, grad_fn=<DivBackward0>)
tensor(2.0897, grad_fn=<DivBackward0>)
tensor(0.8180, grad_fn=<DivBackward0>)
tensor(1.8026, grad_fn=<DivBackward0>)
tensor(0.7576, grad_fn=<DivBackward0>)
tensor(1.4138, grad_fn=<DivBackward0>)
tensor(1.0544, grad_fn=<DivBackward0>)
tensor(1.8350, grad_fn=<DivBackward0>)
tensor(1.0782, grad_fn=<DivBackward0>)
tensor(2.6619, grad_fn=<DivBackward0>)
tensor(1.4625, grad_fn=<DivBackward0>)
tensor(2.8468, grad_fn=<DivBackward0>)
tensor(1.4933, grad_fn=<DivBackward0>)
tensor(2.6156, grad_fn=<DivBackward0>)
tensor(1.3067, grad_fn=<DivBackward0>)
tensor(2.6243, grad_fn=<DivBackward0>)
tensor(1.1979, grad_fn=<DivBackward0>)
tensor(2.0214, grad_fn=<DivBackward0>)
tensor(0.9077, grad_fn=<DivBackward0>)
tensor(1.7107, grad_fn=<DivBackward0>)
tensor(0.8341, grad_fn=<DivBackward0>)
tensor(1.3854, grad_fn=<DivBackward0>)
tensor(0.7021, grad_fn=<DivBackward0>)
tensor(1.3877, grad_fn=<DivBackward0>)
tensor(0.7709, grad_fn=<DivBackward0>)
tensor(1.1197, grad_fn=<DivBackward0>)
tensor(0.7631, grad_fn=<DivBackward0>)
tensor(1.2165, grad_fn=<DivBackward0>)
tensor(0.8299, grad_fn=<DivBackward0>)
tensor(1.1616, grad_fn=<DivBackward0>)
tensor(0.9700, grad_fn=<DivBackward0>)
tensor(1.5089, grad_fn=<DivBackward0>)
tensor(1.0745, grad_fn=<DivBackward0>)
tensor(2.1578, grad_fn=<DivBackward0>)
tensor(1.0442, grad_fn=<DivBackward0>)
tensor(1.6384, grad_fn=<DivBackward0>)
tensor(0.7688, grad_fn=<DivBackward0>)
tensor(1.4852, grad_fn=<DivBackward0>)
tensor(0.9435, grad_fn=<DivBackward0>)
tensor(1.7408, grad_fn=<DivBackward0>)
tensor(1.0188, grad_fn=<DivBackward0>)
tensor(1.9727, grad_fn=<DivBackward0>)
tensor(0.8104, grad_fn=<DivBackward0>)
tensor(1.8240, grad_fn=<DivBackward0>)
tensor(1.0086, grad_fn=<DivBackward0>)
tensor(2.3622, grad_fn=<DivBackward0>)
tensor(1.0147, grad_fn=<DivBackward0>)
tensor(2.0192, grad_fn=<DivBackward0>)
tensor(0.9100, grad_fn=<DivBackward0>)
tensor(2.0020, grad_fn=<DivBackward0>)
tensor(0.9924, grad_fn=<DivBackward0>)
tensor(1.7302, grad_fn=<DivBackward0>)
tensor(0.8816, grad_fn=<DivBackward0>)
tensor(2.0152, grad_fn=<DivBackward0>)
tensor(0.8400, grad_fn=<DivBackward0>)
tensor(2.3786, grad_fn=<DivBackward0>)
tensor(0.9441, grad_fn=<DivBackward0>)
tensor(1.3501, grad_fn=<DivBackward0>)
tensor(0.9082, grad_fn=<DivBackward0>)
tensor(1.3706, grad_fn=<DivBackward0>)
tensor(0.8226, grad_fn=<DivBackward0>)
tensor(1.2882, grad_fn=<DivBackward0>)
tensor(0.8410, grad_fn=<DivBackward0>)
tensor(1.3933, grad_fn=<DivBackward0>)
tensor(0.8153, grad_fn=<DivBackward0>)
tensor(1.2730, grad_fn=<DivBackward0>)
tensor(0.6776, grad_fn=<DivBackward0>)
tensor(1.0518, grad_fn=<DivBackward0>)
tensor(0.8159, grad_fn=<DivBackward0>)
tensor(1.0482, grad_fn=<DivBackward0>)
tensor(0.9158, grad_fn=<DivBackward0>)
tensor(0.9773, grad_fn=<DivBackward0>)
tensor(0.8364, grad_fn=<DivBackward0>)
tensor(1.0343, grad_fn=<DivBackward0>)
tensor(0.7422, grad_fn=<DivBackward0>)
tensor(1.1279, grad_fn=<DivBackward0>)
tensor(0.8279, grad_fn=<DivBackward0>)
tensor(0.9248, grad_fn=<DivBackward0>)
tensor(0.9307, grad_fn=<DivBackward0>)
tensor(0.9569, grad_fn=<DivBackward0>)
tensor(1.0075, grad_fn=<DivBackward0>)
tensor(1.0747, grad_fn=<DivBackward0>)
tensor(1.1775, grad_fn=<DivBackward0>)
tensor(1.0936, grad_fn=<DivBackward0>)
tensor(1.0457, grad_fn=<DivBackward0>)
tensor(1.1570, grad_fn=<DivBackward0>)
tensor(1.0540, grad_fn=<DivBackward0>)
tensor(1.3978, grad_fn=<DivBackward0>)
tensor(1.0683, grad_fn=<DivBackward0>)
tensor(1.3712, grad_fn=<DivBackward0>)
tensor(1.2494, grad_fn=<DivBackward0>)
tensor(1.6743, grad_fn=<DivBackward0>)
tensor(1.1126, grad_fn=<DivBackward0>)
tensor(1.1254, grad_fn=<DivBackward0>)
tensor(0.9523, grad_fn=<DivBackward0>)
tensor(1.0389, grad_fn=<DivBackward0>)
tensor(1.0623, grad_fn=<DivBackward0>)
tensor(0.9918, grad_fn=<DivBackward0>)
tensor(0.7763, grad_fn=<DivBackward0>)
tensor(1.1000, grad_fn=<DivBackward0>)
tensor(1.0565, grad_fn=<DivBackward0>)
tensor(0.9865, grad_fn=<DivBackward0>)
tensor(1.0486, grad_fn=<DivBackward0>)
tensor(0.6696, grad_fn=<DivBackward0>)
tensor(1.0408, grad_fn=<DivBackward0>)
tensor(0.6035, grad_fn=<DivBackward0>)
tensor(1.0174, grad_fn=<DivBackward0>)
tensor(1.5040, grad_fn=<DivBackward0>)
tensor(1.0573, grad_fn=<DivBackward0>)
tensor(2.2312, grad_fn=<DivBackward0>)
tensor(1.1301, grad_fn=<DivBackward0>)
tensor(3.0251, grad_fn=<DivBackward0>)
tensor(1.0284, grad_fn=<DivBackward0>)
tensor(3.0724, grad_fn=<DivBackward0>)
tensor(1.3212, grad_fn=<DivBackward0>)
tensor(2.8715, grad_fn=<DivBackward0>)
tensor(1.2252, grad_fn=<DivBackward0>)
tensor(2.0329, grad_fn=<DivBackward0>)
tensor(0.8622, grad_fn=<DivBackward0>)
tensor(2.0316, grad_fn=<DivBackward0>)
tensor(0.9376, grad_fn=<DivBackward0>)
tensor(1.7308, grad_fn=<DivBackward0>)
tensor(0.7439, grad_fn=<DivBackward0>)
tensor(1.6774, grad_fn=<DivBackward0>)
tensor(0.8477, grad_fn=<DivBackward0>)
tensor(1.4897, grad_fn=<DivBackward0>)
tensor(0.6633, grad_fn=<DivBackward0>)
tensor(1.5279, grad_fn=<DivBackward0>)
tensor(0.6086, grad_fn=<DivBackward0>)
tensor(1.3277, grad_fn=<DivBackward0>)
tensor(0.7594, grad_fn=<DivBackward0>)
tensor(1.5120, grad_fn=<DivBackward0>)
tensor(0.8070, grad_fn=<DivBackward0>)
tensor(1.4642, grad_fn=<DivBackward0>)
tensor(0.7740, grad_fn=<DivBackward0>)
tensor(2.2710, grad_fn=<DivBackward0>)
tensor(1.0541, grad_fn=<DivBackward0>)
tensor(3.2091, grad_fn=<DivBackward0>)
tensor(1.2964, grad_fn=<DivBackward0>)
tensor(2.9158, grad_fn=<DivBackward0>)
tensor(1.0908, grad_fn=<DivBackward0>)
tensor(2.0450, grad_fn=<DivBackward0>)
tensor(0.7241, grad_fn=<DivBackward0>)
tensor(1.7632, grad_fn=<DivBackward0>)
tensor(0.6852, grad_fn=<DivBackward0>)
tensor(1.3694, grad_fn=<DivBackward0>)
tensor(0.6062, grad_fn=<DivBackward0>)
tensor(1.2591, grad_fn=<DivBackward0>)
tensor(0.7252, grad_fn=<DivBackward0>)
tensor(1.1032, grad_fn=<DivBackward0>)
tensor(0.7492, grad_fn=<DivBackward0>)
tensor(1.0843, grad_fn=<DivBackward0>)
tensor(0.6839, grad_fn=<DivBackward0>)
tensor(1.0616, grad_fn=<DivBackward0>)
tensor(0.5993, grad_fn=<DivBackward0>)
