# Reward Formula: R_total = R_global / reward_scale
# R_global = w1*CompletedNorm - w2*AvgWaitNorm - w3*WIPNorm + w4*ThroughputDelta + w5*LoadBalance
# Coefficients: w1=1.0, w2=0.0, w3=0.0, w4=0.0, w5=0.0
# reward_scale=2.0
# LoadBalance: lambda_m=0.8, lambda_o=0.2
# CompletedNorm: fraction of jobs completed [0,1]
# AvgWaitNorm: normalized average wait time [0,1]
# WIPNorm: work-in-progress ratio [0,1]
# ThroughputDelta: change in completed jobs (normalized) - immediate feedback!
# LoadBalance: entropy-based load distribution [0,1] - higher is better
#
step,sim_time,CompletedNorm,AvgWaitNorm,WIPNorm,ThroughputDelta,LoadBalance,R_global,R_total
70,71.00,0.743590,0.093395,0.256410,0.000000,0.985042,0.743590,0.371795
71,72.00,0.743590,0.094507,0.256410,0.000000,0.987574,0.743590,0.371795
72,73.00,0.725000,0.095198,0.250000,0.000000,0.986094,0.725000,0.362500
73,74.00,0.725000,0.095898,0.250000,0.000000,0.990697,0.725000,0.362500
74,75.00,0.725000,0.096898,0.250000,0.000000,0.990697,0.725000,0.362500
75,76.00,0.725000,0.097211,0.250000,0.000000,0.993071,0.725000,0.362500
76,77.00,0.707317,0.096847,0.243902,0.000000,0.992166,0.707317,0.353659
77,78.00,0.707317,0.102226,0.243902,0.000000,0.985842,0.707317,0.353659
78,79.00,0.707317,0.102470,0.243902,0.000000,0.985842,0.707317,0.353659
79,80.00,0.690476,0.102489,0.238095,0.000000,0.987818,0.690476,0.345238
80,81.00,0.714286,0.104333,0.238095,0.023810,0.982976,0.714286,0.357143
81,82.00,0.714286,0.106678,0.238095,0.000000,0.975430,0.714286,0.357143
82,83.00,0.738095,0.108946,0.238095,0.023810,0.975430,0.738095,0.369048
83,84.00,0.738095,0.111188,0.238095,0.000000,0.973856,0.738095,0.369048
84,85.00,0.738095,0.113545,0.238095,0.000000,0.978290,0.738095,0.369048
85,86.00,0.744186,0.113927,0.232558,0.023256,0.974320,0.744186,0.372093
86,87.00,0.727273,0.113174,0.227273,0.000000,0.962295,0.727273,0.363636
87,88.00,0.711111,0.112479,0.222222,0.000000,0.974013,0.711111,0.355556
88,89.00,0.711111,0.113319,0.222222,0.000000,0.963369,0.711111,0.355556
89,90.00,0.733333,0.114503,0.222222,0.022222,0.958455,0.733333,0.366667
90,91.00,0.733333,0.117017,0.222222,0.000000,0.958958,0.733333,0.366667
91,92.00,0.733333,0.118545,0.222222,0.000000,0.968092,0.733333,0.366667
92,93.00,0.733333,0.120885,0.222222,0.000000,0.967788,0.733333,0.366667
93,94.00,0.733333,0.121774,0.222222,0.000000,0.960344,0.733333,0.366667
94,95.00,0.755556,0.122607,0.222222,0.022222,0.960521,0.755556,0.377778
95,96.00,0.777778,0.125052,0.222222,0.022222,0.956388,0.777778,0.388889
96,97.00,0.777778,0.127282,0.222222,0.000000,0.951305,0.777778,0.388889
97,98.00,0.782609,0.127563,0.217391,0.021739,0.945370,0.782609,0.391304
98,99.00,0.765957,0.125499,0.212766,0.000000,0.946132,0.765957,0.382979
99,1.00,0.000000,0.000000,0.500000,0.000000,0.952870,0.000000,0.000000
100,3.00,0.000000,0.002042,0.600000,0.000000,0.956955,0.000000,0.000000
101,4.00,0.100000,0.002185,0.600000,0.100000,0.952182,0.100000,0.050000
102,5.00,0.100000,0.002185,0.600000,0.000000,0.952182,0.100000,0.050000
103,6.00,0.100000,0.004070,0.600000,0.000000,0.962823,0.100000,0.050000
104,7.00,0.100000,0.007238,0.700000,0.000000,0.971471,0.100000,0.050000
105,8.00,0.100000,0.007354,0.800000,0.000000,0.980530,0.100000,0.050000
106,9.00,0.200000,0.008892,0.700000,0.100000,0.980605,0.200000,0.100000
107,10.00,0.300000,0.008003,0.700000,0.100000,0.980605,0.300000,0.150000
108,11.00,0.300000,0.008628,0.700000,0.000000,0.984985,0.300000,0.150000
109,12.00,0.300000,0.009837,0.700000,0.000000,0.987716,0.300000,0.150000
110,13.00,0.300000,0.011037,0.700000,0.000000,0.988950,0.300000,0.150000
111,14.00,0.300000,0.011987,0.700000,0.000000,0.987315,0.300000,0.150000
112,15.00,0.300000,0.013012,0.700000,0.000000,0.989921,0.300000,0.150000
113,16.00,0.363636,0.011829,0.636364,0.090909,0.989921,0.363636,0.181818
114,17.00,0.416667,0.011110,0.583333,0.083333,0.982588,0.416667,0.208333
115,18.00,0.416667,0.012994,0.583333,0.000000,0.987191,0.416667,0.208333
116,19.00,0.461538,0.011995,0.538462,0.076923,0.987191,0.461538,0.230769
117,20.00,0.428571,0.011735,0.571429,0.000000,0.989921,0.428571,0.214286
118,21.00,0.428571,0.014538,0.571429,0.000000,0.988429,0.428571,0.214286
119,22.00,0.428571,0.016311,0.571429,0.000000,0.990531,0.428571,0.214286
120,23.00,0.400000,0.015344,0.600000,0.000000,0.992432,0.400000,0.200000
121,24.00,0.466667,0.018677,0.533333,0.066667,0.992432,0.466667,0.233333
122,25.00,0.466667,0.019910,0.533333,0.000000,0.990531,0.466667,0.233333
123,26.00,0.437500,0.022353,0.562500,0.000000,0.985270,0.437500,0.218750
124,27.00,0.500000,0.040808,0.500000,0.062500,0.985143,0.500000,0.250000
125,28.00,0.470588,0.039525,0.529412,0.000000,0.982950,0.470588,0.235294
126,29.00,0.500000,0.038882,0.500000,0.055556,0.982950,0.500000,0.250000
127,30.00,0.500000,0.040825,0.500000,0.000000,0.987900,0.500000,0.250000
128,31.00,0.500000,0.044061,0.500000,0.000000,0.984973,0.500000,0.250000
129,32.00,0.500000,0.044394,0.500000,0.000000,0.982615,0.500000,0.250000
130,33.00,0.578947,0.043071,0.421053,0.105263,0.982615,0.578947,0.289474
131,34.00,0.578947,0.043729,0.421053,0.000000,0.986874,0.578947,0.289474
132,35.00,0.650000,0.043090,0.350000,0.100000,0.982620,0.650000,0.325000
133,36.00,0.619048,0.041392,0.380952,0.000000,0.970933,0.619048,0.309524
134,37.00,0.619048,0.041780,0.380952,0.000000,0.972006,0.619048,0.309524
135,38.00,0.565217,0.038843,0.434783,0.000000,0.974506,0.565217,0.282609
136,39.00,0.565217,0.046265,0.434783,0.000000,0.966564,0.565217,0.282609
137,40.00,0.608696,0.046297,0.391304,0.043478,0.965329,0.608696,0.304348
138,41.00,0.583333,0.045379,0.416667,0.000000,0.964122,0.583333,0.291667
139,42.00,0.583333,0.047537,0.416667,0.000000,0.967187,0.583333,0.291667
140,43.00,0.600000,0.045716,0.400000,0.040000,0.968855,0.600000,0.300000
141,44.00,0.600000,0.046982,0.400000,0.000000,0.968855,0.600000,0.300000
142,45.00,0.600000,0.049416,0.400000,0.000000,0.964289,0.600000,0.300000
143,46.00,0.600000,0.050506,0.400000,0.000000,0.947217,0.600000,0.300000
144,47.00,0.615385,0.050705,0.384615,0.038462,0.952708,0.615385,0.307692
145,48.00,0.653846,0.053117,0.346154,0.038462,0.952708,0.653846,0.326923
146,49.00,0.653846,0.055944,0.346154,0.000000,0.947538,0.653846,0.326923
147,50.00,0.653846,0.056309,0.346154,0.000000,0.929780,0.653846,0.326923
148,51.00,0.653846,0.060019,0.346154,0.000000,0.934872,0.653846,0.326923
149,52.00,0.653846,0.060077,0.346154,0.000000,0.934872,0.653846,0.326923
150,53.00,0.653846,0.061258,0.346154,0.000000,0.947467,0.653846,0.326923
151,54.00,0.692308,0.061258,0.307692,0.038462,0.940633,0.692308,0.346154
152,55.00,0.692308,0.061258,0.307692,0.000000,0.940633,0.692308,0.346154
153,56.00,0.692308,0.062661,0.307692,0.000000,0.951902,0.692308,0.346154
