epoch,std,cv,range,mean
0,0.1381993465975871,0.3100795319562636,0.3634500000000001,0.4456899999999999
1,0.14745172565962056,0.3256874269108551,0.4133,0.45274000000000003
2,0.1548427589524289,0.3415900263675908,0.40885000000000005,0.45330000000000004
3,0.12927794630175712,0.2771290837997752,0.32430000000000003,0.46649
4,0.15965004353272194,0.37552345940801135,0.41600000000000004,0.42514
5,0.14330446468969488,0.32694028264668473,0.3797499999999999,0.43832000000000004
6,0.13983309479518793,0.33076235877374377,0.3371,0.4227600000000001
7,0.1323220593854252,0.2957512335116006,0.33269999999999994,0.44741
8,0.11088012175317993,0.24010940417328205,0.30395000000000005,0.46179000000000003
9,0.12184697534202485,0.27693123785091667,0.2871000000000001,0.43999000000000005
10,0.12120891221358274,0.27485637364471466,0.32600000000000007,0.44099000000000005
11,0.11835475317873803,0.2604523418395714,0.32505,0.45442
12,0.13027308087245038,0.28721714591452335,0.35115,0.45357000000000003
13,0.08665601767909718,0.19515362958088725,0.24285000000000007,0.44404000000000005
14,0.10169485041043132,0.22869220655399686,0.28040000000000004,0.44467999999999996
15,0.09240225971262823,0.20433032531207873,0.28495,0.45221999999999996
16,0.11257350221077782,0.2398702397365874,0.32065,0.46930999999999995
17,0.15043766616110477,0.34127552950501294,0.39845,0.44081000000000004
18,0.14971895805141044,0.31803670246284826,0.3705,0.47076
19,0.12675545510943503,0.28338539897926407,0.37655000000000005,0.44729
20,0.1173818665723118,0.2566116489349448,0.31005000000000005,0.45743
21,0.14004915208597302,0.320735490864475,0.3811,0.43665000000000004
22,0.129280240562895,0.2938387630131486,0.37945000000000007,0.43997
23,0.1203002601825948,0.26723295684429177,0.3294000000000001,0.45016999999999996
24,0.14380550754404367,0.31907146115829527,0.40375000000000005,0.4507
25,0.11532894086047964,0.2585734739708525,0.2671500000000001,0.44602
26,0.12235715998665544,0.2821694993119836,0.33895,0.43362999999999996
27,0.11448882303526403,0.2559667837490253,0.32400000000000007,0.44727999999999996
28,0.12557664830692053,0.2788918833298255,0.34055,0.45027
29,0.12169283627231312,0.2640101450781297,0.339,0.46094
30,0.13222355917157882,0.2937452717472259,0.39695,0.45013000000000003
31,0.1282088897073834,0.2764254537577529,0.3768,0.46381000000000006
32,0.16555731152685468,0.35731279735583954,0.43695000000000006,0.46334
33,0.1314907167825927,0.2924810747660936,0.3548,0.44957
34,0.1312204503878873,0.3005025543039075,0.3722999999999999,0.43667
35,0.1363488100424789,0.30554355191591914,0.39244999999999997,0.4462499999999999
36,0.12247899248442569,0.2718613879171306,0.33205000000000007,0.45052000000000003
37,0.15076472730715235,0.34421170618071306,0.44125000000000003,0.43800000000000006
38,0.12806785935588993,0.27930093855557964,0.3277,0.45853
39,0.14266202367834266,0.3089929037867504,0.34555,0.4617
40,0.11628928755478728,0.26717200651285955,0.3294000000000001,0.4352600000000001
41,0.14070763518729182,0.3118036545467055,0.38265,0.45127000000000006
42,0.1503553670475384,0.32944492001914677,0.4124,0.45639
43,0.15633596707092068,0.3444433926829133,0.39675,0.45388
44,0.1457554342040118,0.33722510342883666,0.3853000000000001,0.43222000000000005
45,0.14934824940386815,0.33643054920676735,0.40395000000000003,0.44392
46,0.1378610191460951,0.3120580812759634,0.3572000000000001,0.44177999999999995
47,0.15773444962974953,0.35459490059067406,0.41344999999999993,0.44482999999999995
48,0.12429880691301909,0.2880354240928282,0.35035,0.43154000000000003
49,0.1517071006907719,0.3266663092757949,0.40325,0.46441
50,0.13607300099578906,0.2916454143982447,0.3487500000000001,0.4665700000000001
51,0.1618865961097459,0.35879121478223824,0.45005000000000006,0.45120000000000005
52,0.1528463849752424,0.33680700067262154,0.40709999999999996,0.45381
53,0.12146044870656457,0.2745923828511848,0.3014000000000001,0.44233
54,0.16682654285214926,0.36871003591952717,0.4528499999999999,0.45246
55,0.1364871041527367,0.2957659309440196,0.37129999999999996,0.46147
56,0.145222003842393,0.3125809936554661,0.395,0.46459
57,0.16733566087358664,0.3581364199845618,0.4896,0.46724
58,0.15462426394327639,0.35586712069798937,0.4258,0.4345
59,0.13287529115678354,0.3040972448948015,0.37844999999999995,0.43695000000000006
60,0.13263000037698858,0.30000000085272244,0.3522999999999999,0.44209999999999994
61,0.15952578600339193,0.37779042770660715,0.4466,0.42225999999999997
62,0.12180559675154506,0.28428697370010053,0.32680000000000003,0.42846
63,0.15501797186132965,0.3515385896122858,0.42469999999999997,0.44097
64,0.14006874026705604,0.3142316102457791,0.3854,0.44575
65,0.15182010275322566,0.33601155911122693,0.38549999999999995,0.45183
66,0.12697050996195927,0.28913446728141207,0.33799999999999997,0.4391399999999999
67,0.16399054423959936,0.3758406349313578,0.43004999999999993,0.43633000000000005
68,0.16657903049303652,0.3825972817314053,0.45449999999999996,0.43538999999999994
