start,end,op_idx,op_name,wc,job_id,operator_grp,arrival,duration
1.0,4.886998999999999,6,Op7,2,0,0,0.0,3.886999
4.886998999999999,8.84596,8,Op9,0,1,0,0.0,3.958961
8.84596,12.529399999999999,6,Op7,2,2,0,0.0,3.68344
1.0,3.033536,5,Op6,2,0,0,0.0,2.033536
3.033536,7.3889569999999996,1,Op2,0,1,0,0.0,4.355421
12.529399999999999,8.0,1,Op2,2,3,0,0.0,3.527643
7.3889569999999996,9.768505,3,Op4,2,2,0,0.0,2.379548
1.0,2.70114,0,Op1,2,0,0,0.0,1.70114
2.70114,7.189541999999999,1,Op2,0,1,0,0.0,4.488402
7.189541999999999,10.623542,8,Op9,2,2,0,0.0,3.434
1.0,2.047746,0,Op1,2,0,0,0.0,1.047746
2.047746,5.537769,1,Op2,0,1,0,0.0,3.490023
5.537769,8.283808,6,Op7,2,2,0,0.0,2.746039
8.283808,9.812922,6,Op7,2,3,0,0.0,1.529114
10.623542,0.0,7,Op8,2,3,0,0.0,4.40243
9.812922,0.0,0,Op1,2,4,0,0.0,4.276127
1.0,2.204002,1,Op2,2,0,0,0.0,1.204002
2.204002,3.4704550000000003,4,Op5,2,1,0,0.0,1.266453
3.4704550000000003,6.348521,6,Op7,2,2,0,0.0,2.878066
6.348521,9.815528,1,Op2,2,3,0,0.0,3.467007
1.0,2.912525,4,Op5,2,0,0,0.0,1.912525
2.912525,4.4515270000000005,3,Op4,2,1,0,0.0,1.539002
4.4515270000000005,6.686136,0,Op1,2,2,0,0.0,2.234609
6.686136,11.070091000000001,0,Op1,2,3,0,0.0,4.383955
1.0,2.958717,2,Op3,2,0,0,0.0,1.958717
2.958717,5.702051,2,Op3,2,1,0,0.0,2.743334
5.702051,9.479358,3,Op4,2,2,0,0.0,3.777307
11.070091000000001,0.0,4,Op5,2,4,0,0.0,3.974458
