Episode,Decision_Point_Index,Timestamp,Num_Agents,Job_Names
5,14,15.82,1,Job_5
5,16,35.31,1,Job_7
5,17,38.19,1,Job_7
5,20,43.46,1,Job_9
5,22,44.05,1,Job_8
5,21,44.71,1,Job_7
5,23,47.37,1,Job_10
5,24,48.49,1,Job_8
5,6524,48.5,1,Job_Added
5,6525,48.510000000000005,1,Job_Added
5,6526,48.52,1,Job_Added
5,6527,48.53,1,Job_Added
6,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
6,1,1.81,1,Job_2
6,2,3.44,1,Job_2
6,3,5.21,1,Job_2
6,4,18.54,1,Job_4
6,5,20.37,2,Job_4
6,6,22.58,1,Job_4
6,7,25.26,1,Job_4
6,8,28.79,1,Job_5
6,9,30.13,1,Job_5
6,10,34.91,1,Job_6
6,11,35.21,1,Job_7
6,12,36.33,1,Job_8
6,13,37.94,2,Job_6
6,14,38.69,2,"Job_8, Job_9"
6,15,40.77,1,Job_9
6,16,41.38,2,Job_8
6,17,44.56,1,Job_10
6,7617,44.57,2,Job_Added
6,7618,44.580000000000005,1,Job_Added
6,7619,44.59,2,Job_Added
6,17219,44.6,1,Job_Added
6,17220,44.61000000000001,1,Job_Added
6,17221,44.620000000000005,1,Job_Added
6,17222,44.63,1,Job_Added
6,17223,44.64,1,Job_Added
7,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
7,1,1.31,1,Job_1
7,2,3.59,1,Job_1
7,3,7.26,1,Job_1
7,4,9.15,1,Job_4
7,5,12.8,3,Job_4
7,6,14.72,1,Job_4
7,7,16.73,1,Job_4
7,8,17.75,2,Job_5
7,9,20.96,3,Job_5
7,10,33.79,2,Job_6
7,11,43.94,1,Job_7
7,12,45.77,1,Job_7
7,13,47.9,2,Job_8
7,4013,47.91,1,Job_Added
7,4014,47.92,1,Job_Added
7,9714,47.93,1,Job_Added
7,9715,47.940000000000005,1,Job_Added
7,9716,47.95,1,Job_Added
7,9717,47.96,1,Job_Added
7,9718,47.97,1,Job_Added
7,19418,47.98,1,Job_Added
7,19419,47.99,1,Job_Added
7,19420,48.0,1,Job_Added
7,19421,48.01,1,Job_Added
7,19422,48.02,1,Job_Added
7,19423,48.03,1,Job_Added
7,19424,48.04,1,Job_Added
7,19425,48.05,1,Job_Added
8,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
8,1,1.21,1,Job_1
8,2,2.23,1,Job_2
8,3,4.63,1,Job_4
8,4,17.92,1,Job_5
8,5,23.18,2,Job_6
8,6,25.44,2,Job_7
8,7,26.27,1,Job_8
8,8,28.24,1,Job_7
8,9,29.14,1,Job_8
8,10,31.84,1,Job_7
8,11,33.65,1,Job_7
8,12,34.39,1,Job_9
8,13,36.45,1,Job_7
8,14,44.34,1,Job_10
8,15,46.41,2,Job_10
8,16,48.84,1,Job_10
8,6816,48.85,1,Job_Added
8,6817,48.86000000000001,1,Job_Added
8,6818,48.870000000000005,1,Job_Added
8,6819,48.88,1,Job_Added
8,6820,48.89,1,Job_Added
8,17620,48.9,3,Job_Added
9,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
9,1,1.2,1,Job_1
9,2,2.05,1,Job_2
9,3,19.42,1,Job_4
9,4,20.4,1,Job_5
9,5,22.41,3,Job_5
9,6,25.73,2,Job_5
9,7,28.66,1,Job_5
9,8,31.86,2,Job_5
9,9,33.53,1,Job_6
9,10,35.35,1,Job_6
9,11,42.58,1,Job_7
9,12,44.25,3,Job_7
9,13,46.23,1,Job_7
9,14,46.63873496429021,2,Job_NEW9_0
9,15,46.90304770995517,1,Job_NEW9_1
9,5915,46.913047709955165,2,Job_Added
9,5916,46.92304770995517,2,Job_Added
9,5917,46.93304770995517,1,Job_Added
9,5918,46.94304770995517,1,Job_Added
9,5919,46.953047709955165,1,Job_Added
9,15819,46.96304770995516,1,Job_Added
9,15820,46.97304770995517,1,Job_Added
9,15821,46.983047709955166,1,Job_Added
9,15822,46.99304770995517,1,Job_Added
9,15823,47.00304770995516,1,Job_Added
9,15824,47.01304770995517,1,Job_Added
9,15825,47.023047709955165,1,Job_Added
9,15826,47.03304770995516,1,Job_Added
9,15827,47.04304770995517,1,Job_Added
9,15828,47.053047709955166,1,Job_Added
9,15829,47.06304770995517,1,Job_Added
10,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
10,1,1.72,2,Job_2
10,2,3.27,1,Job_3
10,3,5.55,1,Job_2
10,4,6.78,1,Job_3
10,5,7.83,1,Job_2
10,6,11.81,1,Job_2
10,7,12.76,2,Job_4
10,8,14.6,2,Job_4
10,9,16.17,1,Job_4
10,10,29.98,1,Job_5
10,11,31.77,3,Job_5
10,12,33.55,1,Job_6
10,13,34.79,1,Job_5
10,14,35.57,1,Job_6
10,15,37.49,1,Job_6
10,16,39.28,1,Job_6
10,3016,39.29,1,Job_Added
10,14016,39.3,1,Job_Added
10,14017,39.31,1,Job_Added
10,25017,39.32,1,Job_Added
10,25018,39.330000000000005,1,Job_Added
10,25019,39.34,1,Job_Added
10,25020,39.35,1,Job_Added
10,25021,39.36,1,Job_Added
10,25022,39.370000000000005,1,Job_Added
10,25023,39.38,1,Job_Added
10,25024,39.39,1,Job_Added
10,25025,39.400000000000006,1,Job_Added
10,25026,39.41,1,Job_Added
10,25027,39.42,1,Job_Added
10,25028,39.43,2,Job_Added
10,25029,39.440000000000005,2,Job_Added
10,25030,39.45,2,Job_Added
10,25031,39.46,2,Job_Added
10,25032,39.47,3,Job_Added
10,25033,39.48,3,Job_Added
11,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
11,1,1.17,1,Job_2
11,2,3.1,1,Job_2
11,3,34.83,2,"Job_4, Job_5"
11,4,36.24,1,Job_4
11,5,37.73,1,Job_5
11,6,40.18,1,Job_5
11,7,43.75,1,Job_5
11,8,44.1994601645538,1,Job_NEW11_0
11,9,44.42280831044493,1,Job_NEW11_1
11,10,44.67554739237572,1,Job_NEW11_2
11,11,44.93963299097228,1,Job_NEW11_3
11,12,45.18773150976911,1,Job_NEW11_4
11,13,45.49965742301546,1,Job_NEW11_5
11,14,45.69081972003332,1,Job_NEW11_6
11,15,45.97718939948397,1,Job_NEW11_7
11,7115,45.98718939948397,1,Job_Added
11,7116,45.99718939948397,1,Job_Added
11,7117,46.00718939948397,1,Job_Added
11,7118,46.01718939948397,1,Job_Added
11,7119,46.027189399483966,1,Job_Added
11,7120,46.03718939948397,1,Job_Added
11,7121,46.04718939948397,1,Job_Added
