DP_Index,Episode,Timestamp,Agent_Count,Type
217,58,12.28,3,conflict
218,58,15.15,2,conflict
219,58,18.57,2,conflict
220,58,29.57,3,conflict
221,59,0.00,4,simultaneous
222,59,26.93,3,conflict
223,59,33.60,2,conflict
224,59,41.82,2,conflict
225,60,0.00,4,simultaneous
226,60,32.05,3,conflict
227,60,37.98,2,conflict
228,60,39.23,2,conflict
229,61,0.00,4,simultaneous
230,61,26.57,3,conflict
231,62,0.00,4,simultaneous
232,63,0.00,4,simultaneous
233,63,8.70,3,conflict
234,63,10.27,2,conflict
235,63,45.10,2,conflict
236,63,49.05,3,conflict
237,64,0.00,4,simultaneous
238,64,45.58,3,conflict
239,64,49.58,2,conflict
240,65,0.00,4,simultaneous
241,65,11.10,2,simultaneous
242,65,14.10,3,conflict
243,65,32.10,3,conflict
244,66,0.00,4,simultaneous
245,66,21.57,3,conflict
246,66,24.05,2,conflict
247,66,33.27,2,conflict
248,66,35.58,3,conflict
249,66,35.82,3,conflict
250,66,45.58,3,conflict
251,66,49.68,3,conflict
252,67,0.00,4,simultaneous
253,67,10.05,3,conflict
254,67,26.82,2,conflict
255,68,0.00,4,simultaneous
256,68,9.22,3,conflict
257,68,12.22,2,conflict
258,68,14.57,2,conflict
259,68,38.92,3,conflict
260,68,40.58,3,conflict
261,69,0.00,4,simultaneous
262,70,0.00,4,simultaneous
263,70,17.75,3,conflict
264,70,26.39,2,conflict
265,70,29.82,2,conflict
266,70,30.10,3,conflict
267,70,41.80,3,conflict
268,70,44.80,3,conflict
269,70,47.82,3,conflict
270,71,0.00,4,simultaneous
271,71,17.93,3,conflict
272,71,33.80,2,conflict
273,72,0.00,4,simultaneous
274,72,16.57,3,conflict
275,72,19.27,2,conflict
276,72,21.05,2,simultaneous
277,72,21.05,2,conflict
278,72,27.05,3,conflict
279,72,31.93,2,simultaneous
280,72,31.93,2,conflict
281,72,37.22,3,conflict
282,72,41.27,3,conflict
283,72,46.58,3,conflict
284,72,46.68,3,conflict
285,73,0.00,4,simultaneous
286,73,5.58,2,simultaneous
287,74,0.00,4,simultaneous
288,74,17.27,3,conflict
289,74,28.80,2,conflict
290,74,33.92,2,conflict
291,75,0.00,4,simultaneous
292,75,18.10,3,conflict
293,76,0.00,4,simultaneous
294,76,10.10,3,conflict
295,76,11.50,2,conflict
296,76,25.10,2,conflict
297,76,27.57,3,conflict
298,76,29.10,3,conflict
299,76,30.10,3,conflict
300,76,38.98,3,conflict
301,76,41.98,3,conflict
302,76,42.82,3,conflict
303,76,46.58,3,conflict
304,77,0.00,4,simultaneous
305,77,13.07,3,conflict
306,77,15.20,2,conflict
307,77,17.75,2,simultaneous
308,77,18.57,2,simultaneous
309,77,20.57,3,conflict
310,78,0.00,4,simultaneous
311,78,14.10,3,conflict
312,78,17.05,2,conflict
313,78,23.82,2,conflict
314,78,25.82,3,conflict
315,78,38.58,3,conflict
316,79,0.00,4,simultaneous
317,79,7.13,3,conflict
318,79,9.75,2,conflict
319,80,0.00,4,simultaneous
320,81,0.00,4,simultaneous
321,81,4.05,3,conflict
322,81,14.68,2,conflict
323,81,39.27,2,conflict
324,82,0.00,4,simultaneous
325,82,10.68,3,conflict
326,82,15.57,2,simultaneous
327,82,23.75,2,conflict
328,82,39.05,3,conflict
329,82,45.10,3,conflict
330,83,0.00,4,simultaneous
331,83,6.75,3,conflict
332,83,11.82,2,conflict
333,83,33.58,2,conflict
334,83,35.58,3,conflict
335,83,47.58,3,conflict
336,84,0.00,4,simultaneous
337,84,28.57,3,conflict
338,84,34.58,2,conflict
339,84,37.27,2,conflict
340,85,0.00,4,simultaneous
341,85,6.97,3,conflict
342,85,15.15,2,conflict
343,85,20.73,2,conflict
344,85,29.62,3,conflict
345,85,32.98,3,conflict
346,86,0.00,4,simultaneous
347,86,30.57,2,simultaneous
348,86,32.05,3,conflict
349,87,0.00,4,simultaneous
350,87,6.07,3,conflict
351,87,7.65,2,conflict
352,87,35.05,2,conflict
353,87,41.98,3,conflict
354,88,0.00,4,simultaneous
355,88,10.07,3,conflict
356,88,14.80,2,conflict
357,88,18.27,2,conflict
358,88,25.75,3,conflict
359,89,0.00,4,simultaneous
